* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2023 4:05:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AudioSense DT200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	81.955	-133.5772
1.015000	82.086	-135.7006
1.030000	82.217	-137.7578
1.044000	82.339	-139.6109
1.060000	82.477	-141.6412
1.075000	82.605	-143.4515
1.090000	82.731	-145.1633
1.106000	82.864	-146.8747
1.120000	82.981	-148.2887
1.138000	83.133	-150.0032
1.150000	83.235	-151.0857
1.172000	83.424	-152.9549
1.180000	83.493	-153.6001
1.206000	83.719	-155.5835
1.220000	83.842	-156.5865
1.241000	84.026	-158.0173
1.250000	84.105	-158.6065
1.265000	84.237	-159.5610
1.280000	84.368	-160.4855
1.315000	84.675	-162.5558
1.320000	84.718	-162.8445
1.340000	84.891	-163.9897
1.360000	85.063	-165.1287
1.380000	85.233	-166.2741
1.400000	85.401	-167.4386
1.430000	85.649	-169.2485
1.450000	85.810	-170.5155
1.475000	86.007	-172.1821
1.500000	86.201	-173.8889
1.525000	86.393	-175.6149
1.550000	86.583	-177.3524
1.575000	86.771	-179.0943
1.600000	86.956	179.1673
1.625000	87.139	177.4396
1.650000	87.319	175.7302
1.675000	87.498	174.0464
1.700000	87.673	172.3960
1.725000	87.847	170.7862
1.750000	88.018	169.2246
1.775000	88.187	167.7187
1.800000	88.353	166.2759
1.825000	88.517	164.9037
1.850000	88.678	163.6071
1.875000	88.836	162.3805
1.900000	88.992	161.2173
1.925000	89.144	160.1111
1.950000	89.294	159.0556
1.975000	89.442	158.0442
2.000000	89.588	157.0706
2.030000	89.759	155.9431
2.060000	89.928	154.8497
2.090000	90.095	153.7793
2.120000	90.259	152.7208
2.140000	90.368	152.0162
2.180000	90.582	150.5952
2.200000	90.688	149.8722
2.240000	90.897	148.4367
2.270000	91.051	147.3817
2.300000	91.201	146.3448
2.330000	91.349	145.3254
2.360000	91.495	144.3234
2.400000	91.686	143.0133
2.430000	91.827	142.0499
2.470000	92.013	140.7899
2.500000	92.151	139.8629
