* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2023 4:07:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AudioSense DT200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	88.838	-178.3975
1.015000	89.068	179.1378
1.030000	89.295	176.7720
1.044000	89.501	174.6618
1.060000	89.732	172.3770
1.075000	89.942	170.3681
1.090000	90.144	168.4985
1.106000	90.352	166.6687
1.120000	90.532	165.2081
1.138000	90.759	163.5098
1.150000	90.909	162.4818
1.172000	91.179	160.7944
1.180000	91.276	160.2389
1.206000	91.587	158.6230
1.220000	91.752	157.8593
1.241000	91.995	156.8310
1.250000	92.098	156.4274
1.265000	92.267	155.7959
1.280000	92.434	155.2072
1.315000	92.815	153.9426
1.320000	92.869	153.7689
1.340000	93.080	153.0764
1.360000	93.287	152.3693
1.380000	93.490	151.6237
1.400000	93.689	150.8153
1.430000	93.980	149.4322
1.450000	94.169	148.3613
1.475000	94.400	146.8261
1.500000	94.622	145.1665
1.525000	94.837	143.4231
1.550000	95.045	141.6120
1.575000	95.246	139.7493
1.600000	95.441	137.8511
1.625000	95.629	135.9335
1.650000	95.811	134.0125
1.675000	95.989	132.1043
1.700000	96.161	130.2249
1.725000	96.328	128.3903
1.750000	96.492	126.6168
1.775000	96.652	124.9204
1.800000	96.808	123.3171
1.825000	96.961	121.8232
1.850000	97.111	120.4424
1.875000	97.256	119.1496
1.900000	97.395	117.9348
1.925000	97.528	116.7894
1.950000	97.658	115.7046
1.975000	97.782	114.6715
2.000000	97.903	113.6815
2.030000	98.043	112.5379
2.060000	98.177	111.4284
2.090000	98.307	110.3379
2.120000	98.433	109.2513
2.140000	98.515	108.5215
2.180000	98.674	107.0288
