* Measurement data measured by REW V5.20.13
* Source: KEMAR DFHRTF Filtered
* Format: 
* Dated: Nov 12, 2022 2:47:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Other/KEMAR DFHRTF.txt Format: Comma/Tab/Space delimited data 956 values loaded, 20 Hz to 19,753 Hz log spaced  HSQ      Fc    8000 Hz  Gain   2.70 dB Q  0.984 PK       Fc    4000 Hz  Gain   0.30 dB  BW Oct   1.41 PK       Fc    7800 Hz  Gain  -1.00 dB  BW Oct   0.71 PK       Fc   12500 Hz  Gain  -0.80 dB  BW Oct   0.71 PK       Fc    8888 Hz  Gain   1.00 dB  BW Oct   0.71
* Measurement: EQ KEMAR DFHRTF
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	86.500
20.299999	86.500
20.600000	86.500
20.900000	86.500
21.200001	86.500
21.400000	86.500
21.799999	86.500
22.000000	86.500
22.400000	86.500
22.700001	86.500
23.000000	86.500
23.299999	86.500
23.600000	86.500
24.000000	86.500
24.299999	86.500
24.700001	86.500
25.000000	86.500
25.400000	86.500
25.799999	86.500
26.200001	86.500
26.500000	86.500
26.900000	86.500
27.200001	86.500
27.600000	86.500
28.000000	86.500
28.500000	86.500
29.000000	86.500
29.500000	86.500
30.000000	86.500
30.400000	86.500
30.700001	86.500
31.100000	86.500
31.500000	86.500
32.000000	86.500
32.500000	86.500
33.000000	86.500
33.500000	86.500
34.000000	86.500
34.500000	86.500
35.000000	86.500
35.500000	86.500
36.000000	86.500
36.500000	86.500
37.000000	86.500
37.500000	86.500
38.200001	86.500
38.700001	86.500
39.500000	86.500
40.000000	86.500
40.599998	86.500
41.200001	86.500
41.799999	86.500
42.500000	86.500
43.099998	86.500
43.700001	86.500
44.400002	86.500
45.000000	86.500
45.500000	86.500
46.200001	86.500
46.799999	86.500
47.500000	86.500
48.200001	86.500
48.700001	86.500
49.400002	86.500
50.000000	86.500
50.799999	86.500
51.500000	86.500
52.200001	86.500
53.000000	86.500
53.799999	86.500
54.500000	86.500
55.200001	86.500
56.000000	86.500
57.000000	86.500
58.000000	86.500
59.000000	86.500
60.000000	86.500
60.799999	86.500
61.500000	86.500
62.200001	86.500
63.000000	86.500
64.000000	86.500
65.000000	86.500
66.000000	86.500
67.000000	86.500
68.000000	86.500
69.000000	86.500
70.000000	86.500
71.000000	86.500
72.000000	86.500
73.000000	86.500
74.000000	86.500
75.000000	86.500
76.199997	86.500
77.500000	86.500
78.800003	86.500
80.000000	86.500
81.199997	86.500
82.500000	86.500
83.800003	86.500
85.000000	86.500
86.199997	86.500
87.500000	86.500
88.500000	86.500
90.000000	86.500
91.199997	86.500
92.500000	86.500
93.800003	86.500
95.000000	86.500
96.199997	86.500
97.500000	86.500
98.800003	86.500
100.000000	86.500
101.500000	86.500
103.000000	86.500
104.400002	86.500
106.000000	86.500
107.500000	86.500
109.000000	86.500
110.599998	86.500
112.000000	86.500
113.800003	86.500
115.000000	86.500
117.199997	86.500
118.000000	86.500
120.599998	86.500
122.000000	86.500
124.099998	86.500
125.000000	86.500
126.500000	86.500
128.000000	86.500
131.500000	86.500
132.000000	86.500
134.000000	86.500
136.000000	86.500
138.000000	86.500
140.000000	86.500
143.000000	86.500
145.000000	86.500
147.500000	86.500
150.000000	86.500
152.500000	86.500
155.000000	86.500
157.500000	86.500
160.000000	86.498
162.500000	86.492
165.000000	86.488
167.500000	86.487
170.000000	86.487
172.500000	86.490
175.000000	86.495
177.500000	86.500
180.000000	86.506
182.500000	86.513
185.000000	86.519
187.500000	86.525
190.000000	86.530
192.500000	86.536
195.000000	86.540
197.500000	86.543
200.000000	86.546
203.000000	86.549
206.000000	86.551
209.000000	86.553
212.000000	86.557
214.000000	86.560
218.000000	86.569
220.000000	86.575
224.000000	86.590
227.000000	86.605
230.000000	86.624
233.000000	86.644
236.000000	86.666
240.000000	86.697
243.000000	86.721
247.000000	86.754
250.000000	86.777
254.000000	86.806
258.000000	86.834
262.000000	86.859
265.000000	86.877
269.000000	86.900
272.000000	86.917
276.000000	86.940
280.000000	86.962
285.000000	86.990
290.000000	87.020
295.000000	87.051
300.000000	87.085
304.000000	87.113
307.000000	87.134
311.000000	87.164
315.000000	87.195
320.000000	87.235
325.000000	87.276
330.000000	87.317
335.000000	87.357
340.000000	87.397
345.000000	87.437
350.000000	87.475
355.000000	87.512
360.000000	87.548
365.000000	87.583
370.000000	87.616
375.000000	87.649
382.000000	87.695
387.000000	87.729
395.000000	87.784
400.000000	87.819
406.000000	87.863
412.000000	87.908
418.000000	87.955
425.000000	88.011
431.000000	88.060
437.000000	88.110
444.000000	88.168
450.000000	88.219
455.000000	88.262
462.000000	88.321
468.000000	88.373
475.000000	88.433
482.000000	88.493
487.000000	88.535
494.000000	88.592
500.000000	88.640
508.000000	88.702
515.000000	88.753
522.000000	88.803
530.000000	88.857
538.000000	88.909
545.000000	88.953
552.000000	88.995
560.000000	89.042
570.000000	89.098
580.000000	89.153
590.000000	89.206
600.000000	89.258
608.000000	89.297
615.000000	89.331
622.000000	89.364
630.000000	89.401
640.000000	89.446
650.000000	89.490
660.000000	89.534
670.000000	89.577
680.000000	89.621
690.000000	89.663
700.000000	89.705
710.000000	89.746
720.000000	89.785
730.000000	89.824
740.000000	89.860
750.000000	89.895
762.000000	89.935
775.000000	89.973
788.000000	90.007
800.000000	90.035
812.000000	90.059
825.000000	90.083
838.000000	90.104
850.000000	90.123
862.000000	90.142
875.000000	90.163
885.000000	90.182
900.000000	90.213
912.000000	90.241
925.000000	90.276
938.000000	90.315
950.000000	90.354
962.000000	90.397
975.000000	90.447
988.000000	90.501
1000.000000	90.553
1015.000000	90.621
1030.000000	90.693
1044.000000	90.762
1060.000000	90.843
1075.000000	90.921
1090.000000	91.001
1106.000000	91.085
1120.000000	91.159
1138.000000	91.253
1150.000000	91.315
1172.000000	91.424
1180.000000	91.462
1206.000000	91.579
1220.000000	91.638
1241.000000	91.720
1250.000000	91.753
1265.000000	91.807
1280.000000	91.858
1315.000000	91.976
1320.000000	91.993
1340.000000	92.065
1360.000000	92.146
1380.000000	92.238
1400.000000	92.345
1430.000000	92.539
1450.000000	92.691
1475.000000	92.908
1500.000000	93.149
1525.000000	93.413
1550.000000	93.693
1575.000000	93.985
1600.000000	94.282
1625.000000	94.581
1650.000000	94.878
1675.000000	95.169
1700.000000	95.454
1725.000000	95.731
1750.000000	95.999
1775.000000	96.257
1800.000000	96.507
1825.000000	96.749
1850.000000	96.982
1875.000000	97.209
1900.000000	97.431
1925.000000	97.648
1950.000000	97.862
1975.000000	98.074
2000.000000	98.285
2030.000000	98.539
2060.000000	98.793
2090.000000	99.049
2120.000000	99.305
2140.000000	99.476
2180.000000	99.816
2200.000000	99.983
2240.000000	100.309
2270.000000	100.541
2300.000000	100.761
2330.000000	100.964
2360.000000	101.150
2400.000000	101.369
2430.000000	101.510
2470.000000	101.668
2500.000000	101.763
2540.000000	101.863
2580.000000	101.935
2620.000000	101.982
2650.000000	102.003
2690.000000	102.014
2720.000000	102.013
2760.000000	102.000
2800.000000	101.976
2850.000000	101.934
2900.000000	101.882
2950.000000	101.822
3000.000000	101.756
3040.000000	101.700
3070.000000	101.656
3110.000000	101.596
3150.000000	101.535
3200.000000	101.456
3250.000000	101.374
3300.000000	101.290
3350.000000	101.203
3400.000000	101.114
3450.000000	101.022
3500.000000	100.928
3550.000000	100.830
3600.000000	100.730
