* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/Harman 2019.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jun 17, 2022 6:40:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/Harman 2019.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: Harman 2019
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.576332	0
20.299999	110.445374	0
20.600000	110.407974	0
20.900000	110.462395	0
21.200001	110.502609	0
21.400000	110.469971	0
21.799999	110.416878	0
22.000000	110.408394	0
22.400000	110.377235	0
22.700001	110.340363	0
23.000000	110.334747	0
23.299999	110.379120	0
23.600000	110.388657	0
24.000000	110.376289	0
24.299999	110.375687	0
24.700001	110.347160	0
25.000000	110.342529	0
25.400000	110.298019	0
25.799999	110.330925	0
26.200001	110.315948	0
26.500000	110.291222	0
26.900000	110.284454	0
27.200001	110.239456	0
27.600000	110.219391	0
28.000000	110.177307	0
28.500000	110.182899	0
29.000000	110.136703	0
29.500000	110.157990	0
30.000000	110.081505	0
30.400000	110.085289	0
30.700001	110.060043	0
31.100000	110.035385	0
31.500000	110.057785	0
32.000000	110.021156	0
32.500000	109.950424	0
33.000000	109.947754	0
33.500000	109.879845	0
34.000000	109.831955	0
34.500000	109.831131	0
35.000000	109.830109	0
35.500000	109.827728	0
36.000000	109.820618	0
36.500000	109.806923	0
37.000000	109.791801	0
37.500000	109.782219	0
38.200001	109.697113	0
38.700001	109.635124	0
39.500000	109.600632	0
40.000000	109.578926	0
40.599998	109.549797	0
41.200001	109.516983	0
41.799999	109.478256	0
42.500000	109.424728	0
43.099998	109.371414	0
43.700001	109.330643	0
44.400002	109.359634	0
45.000000	109.323235	0
45.500000	109.281647	0
46.200001	109.222046	0
46.799999	109.167847	0
47.500000	109.101746	0
48.200001	109.032440	0
48.700001	108.983360	0
49.400002	108.916779	0
50.000000	108.855957	0
50.799999	108.805756	0
51.500000	108.798668	0
52.200001	108.731125	0
53.000000	108.644211	0
53.799999	108.544220	0
