* Measurement data measured by REW V5.20.13
* Source: C:\Users\tpgnm\OneDrive\Documents\Measurements\SecritTuning.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jan 5, 2023 9:13:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\tpgnm\OneDrive\Documents\Measurements\SecritTuning.txt Format: Comma/Tab/Space delimited data 37 values loaded, 20 Hz to 20,000 Hz
* Measurement: test
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	104.411
20.299999	104.418
20.600000	104.436
20.900000	104.455
21.200001	104.474
21.400000	104.486
21.799999	104.510
22.000000	104.522
22.400000	104.546
22.700001	104.564
23.000000	104.582
23.299999	104.599
23.600000	104.616
24.000000	104.639
24.299999	104.656
24.700001	104.677
25.000000	104.693
25.400000	104.714
25.799999	104.735
26.200001	104.754
26.500000	104.768
26.900000	104.787
27.200001	104.800
27.600000	104.817
28.000000	104.833
28.500000	104.852
29.000000	104.869
29.500000	104.885
30.000000	104.896
30.400000	104.901
30.700001	104.903
31.100000	104.904
31.500000	104.904
32.000000	104.903
32.500000	104.899
33.000000	104.895
33.500000	104.889
34.000000	104.881
34.500000	104.872
35.000000	104.862
35.500000	104.850
36.000000	104.838
36.500000	104.824
37.000000	104.809
37.500000	104.793
38.200001	104.769
38.700001	104.751
39.500000	104.720
40.000000	104.701
40.599998	104.677
41.200001	104.653
41.799999	104.629
42.500000	104.599
43.099998	104.572
43.700001	104.544
44.400002	104.511
45.000000	104.481
45.500000	104.455
46.200001	104.419
46.799999	104.386
47.500000	104.347
48.200001	104.307
48.700001	104.278
49.400002	104.236
50.000000	104.199
50.799999	104.148
51.500000	104.103
52.200001	104.056
53.000000	104.002
53.799999	103.947
54.500000	103.898
55.200001	103.848
56.000000	103.791
57.000000	103.719
58.000000	103.647
59.000000	103.574
60.000000	103.501
60.799999	103.445
61.500000	103.395
62.200001	103.346
63.000000	103.290
64.000000	103.220
65.000000	103.150
66.000000	103.080
67.000000	103.010
68.000000	102.940
69.000000	102.870
70.000000	102.800
71.000000	102.728
72.000000	102.656
73.000000	102.585
74.000000	102.513
75.000000	102.443
76.199997	102.359
77.500000	102.269
78.800003	102.181
80.000000	102.101
81.199997	102.022
82.500000	101.937
83.800003	101.853
85.000000	101.776
86.199997	101.700
87.500000	101.618
88.500000	101.556
90.000000	101.464
91.199997	101.392
92.500000	101.315
93.800003	101.239
95.000000	101.171
96.199997	101.104
97.500000	101.033
98.800003	100.964
100.000000	100.902
101.500000	100.825
103.000000	100.750
104.400002	100.681
106.000000	100.602
107.500000	100.528
109.000000	100.455
110.599998	100.378
112.000000	100.311
113.800003	100.225
115.000000	100.168
117.199997	100.065
118.000000	100.028
120.599998	99.908
122.000000	99.844
124.099998	99.750
125.000000	99.710
126.500000	99.643
128.000000	99.578
131.500000	99.427
132.000000	99.406
134.000000	99.322
136.000000	99.240
138.000000	99.158
140.000000	99.078
143.000000	98.961
145.000000	98.885
147.500000	98.792
150.000000	98.703
152.500000	98.619
155.000000	98.538
157.500000	98.460
160.000000	98.384
162.500000	98.311
165.000000	98.241
167.500000	98.173
170.000000	98.107
172.500000	98.043
175.000000	97.983
177.500000	97.924
180.000000	97.868
182.500000	97.814
185.000000	97.762
187.500000	97.713
190.000000	97.666
192.500000	97.622
195.000000	97.579
197.500000	97.540
200.000000	97.504
203.000000	97.466
