* Measurement data measured by REW V5.30.9
* Source: Haruto Target Old Filtered
* Format: 
* Dated: Mar 12, 2024 3:32:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\HarutoHiroki\Desktop\Cryptonix Stuff\graphtools\graphtool\data\targets\Haruto 2021 Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  PK       Fc   20.00 Hz  Gain   1.50 dB  Q  1.000 PK       Fc   70.00 Hz  Gain   1.70 dB  Q  0.700 PK       Fc   400.0 Hz  Gain   0.80 dB  Q  1.000 PK       Fc    1000 Hz  Gain  -0.70 dB  Q  3.000 PK       Fc    1300 Hz  Gain  -0.60 dB  Q  3.000 PK       Fc    1500 Hz  Gain  -0.40 dB  Q  5.000 PK       Fc    1900 Hz  Gain  -2.20 dB  Q  2.000 PK       Fc    3000 Hz  Gain   0.80 dB  Q  3.000 PK       Fc    3500 Hz  Gain   0.50 dB  Q  3.000 PK       Fc    5500 Hz  Gain  -1.30 dB  Q  1.000 PK       Fc    6900 Hz  Gain   0.20 dB  Q  6.000 PK       Fc    8000 Hz  Gain   1.60 dB  Q  3.000
* Measurement: Haruto Target 2024 v3 final
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	106.196
20.299999	106.209
20.600000	106.231
20.900000	106.252
21.200001	106.271
21.400000	106.282
21.799999	106.302
22.000000	106.310
22.400000	106.326
22.700001	106.335
23.000000	106.344
23.299999	106.351
23.600000	106.357
24.000000	106.365
24.299999	106.369
24.700001	106.374
25.000000	106.377
25.400000	106.381
25.799999	106.384
26.200001	106.386
26.500000	106.388
26.900000	106.390
27.200001	106.392
27.600000	106.394
28.000000	106.395
28.500000	106.397
29.000000	106.398
29.500000	106.400
30.000000	106.398
30.400000	106.393
30.700001	106.389
31.100000	106.382
31.500000	106.375
32.000000	106.366
32.500000	106.356
33.000000	106.347
33.500000	106.337
34.000000	106.326
34.500000	106.315
35.000000	106.305
35.500000	106.293
36.000000	106.282
36.500000	106.270
37.000000	106.258
37.500000	106.246
38.200001	106.228
38.700001	106.215
39.500000	106.194
40.000000	106.182
40.599998	106.167
41.200001	106.152
41.799999	106.138
42.500000	106.120
43.099998	106.104
43.700001	106.087
44.400002	106.068
45.000000	106.050
45.500000	106.034
46.200001	106.012
46.799999	105.991
47.500000	105.967
48.200001	105.941
48.700001	105.922
49.400002	105.894
50.000000	105.869
50.799999	105.834
51.500000	105.803
52.200001	105.769
53.000000	105.729
53.799999	105.688
54.500000	105.651
55.200001	105.613
56.000000	105.568
57.000000	105.510
58.000000	105.451
59.000000	105.390
60.000000	105.327
60.799999	105.278
61.500000	105.234
62.200001	105.190
63.000000	105.139
64.000000	105.074
65.000000	105.008
66.000000	104.940
67.000000	104.871
68.000000	104.801
69.000000	104.729
70.000000	104.656
71.000000	104.581
72.000000	104.504
73.000000	104.426
74.000000	104.348
75.000000	104.269
76.199997	104.174
77.500000	104.071
78.800003	103.969
80.000000	103.874
81.199997	103.780
82.500000	103.678
83.800003	103.575
85.000000	103.481
86.199997	103.387
87.500000	103.285
88.500000	103.207
90.000000	103.091
91.199997	102.999
92.500000	102.901
93.800003	102.803
95.000000	102.715
96.199997	102.628
97.500000	102.536
98.800003	102.445
100.000000	102.363
101.500000	102.261
103.000000	102.162
104.400002	102.070
106.000000	101.966
107.500000	101.869
109.000000	101.772
110.599998	101.671
112.000000	101.583
113.800003	101.471
115.000000	101.397
117.199997	101.264
118.000000	101.216
120.599998	101.062
122.000000	100.980
124.099998	100.860
125.000000	100.809
126.500000	100.725
128.000000	100.643
131.500000	100.454
132.000000	100.427
134.000000	100.323
136.000000	100.221
138.000000	100.120
140.000000	100.022
143.000000	99.879
145.000000	99.787
147.500000	99.675
150.000000	99.568
152.500000	99.466
155.000000	99.369
157.500000	99.275
160.000000	99.185
162.500000	99.098
165.000000	99.015
167.500000	98.935
170.000000	98.858
172.500000	98.784
175.000000	98.713
177.500000	98.646
180.000000	98.581
182.500000	98.519
185.000000	98.460
187.500000	98.405
190.000000	98.352
192.500000	98.302
195.000000	98.254
197.500000	98.211
200.000000	98.171
203.000000	98.129
206.000000	98.093
209.000000	98.061
212.000000	98.032
214.000000	98.014
218.000000	97.983
220.000000	97.969
224.000000	97.945
227.000000	97.930
230.000000	97.917
233.000000	97.906
236.000000	97.896
240.000000	97.887
243.000000	97.880
247.000000	97.873
250.000000	97.866
254.000000	97.855
258.000000	97.843
262.000000	97.830
265.000000	97.821
269.000000	97.811
272.000000	97.804
276.000000	97.795
280.000000	97.787
285.000000	97.779
290.000000	97.773
295.000000	97.767
300.000000	97.763
304.000000	97.759
307.000000	97.757
311.000000	97.755
315.000000	97.752
320.000000	97.747
325.000000	97.744
330.000000	97.740
335.000000	97.735
340.000000	97.732
345.000000	97.727
350.000000	97.722
355.000000	97.717
360.000000	97.712
365.000000	97.706
370.000000	97.699
375.000000	97.693
382.000000	97.683
387.000000	97.675
395.000000	97.663
400.000000	97.656
406.000000	97.649
412.000000	97.644
418.000000	97.638
425.000000	97.630
431.000000	97.624
437.000000	97.617
444.000000	97.609
450.000000	97.602
455.000000	97.596
462.000000	97.587
468.000000	97.580
475.000000	97.572
482.000000	97.562
