* Measurement data measured by REW V5.20.13
* Source: C:\Users\tpgnm\OneDrive\Desktop\Cryptonix Stuff\graphtool\data\Haruto Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jan 3, 2023 10:54:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\tpgnm\OneDrive\Desktop\Cryptonix Stuff\graphtool\data\Haruto Target.txt Format: Comma/Tab/Space delimited data 37 values loaded, 20 Hz to 20,000 Hz
* Measurement: Haruto Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.569
20.299999	71.543
20.600000	71.516
20.900000	71.489
21.200001	71.462
21.400000	71.443
21.799999	71.405
22.000000	71.385
22.400000	71.346
22.700001	71.316
23.000000	71.286
23.299999	71.255
23.600000	71.224
24.000000	71.183
24.299999	71.151
24.700001	71.108
25.000000	71.076
25.400000	71.033
25.799999	70.989
26.200001	70.945
26.500000	70.911
26.900000	70.867
27.200001	70.833
27.600000	70.787
28.000000	70.742
28.500000	70.684
29.000000	70.626
29.500000	70.568
30.000000	70.510
30.400000	70.463
30.700001	70.428
31.100000	70.381
31.500000	70.334
32.000000	70.275
32.500000	70.217
33.000000	70.158
33.500000	70.100
34.000000	70.043
34.500000	69.985
35.000000	69.928
35.500000	69.872
36.000000	69.816
36.500000	69.761
37.000000	69.706
37.500000	69.652
38.200001	69.577
38.700001	69.525
39.500000	69.442
40.000000	69.391
40.599998	69.331
41.200001	69.271
41.799999	69.213
42.500000	69.146
43.099998	69.090
43.700001	69.035
44.400002	68.971
45.000000	68.918
45.500000	68.874
46.200001	68.813
46.799999	68.762
47.500000	68.704
48.200001	68.647
48.700001	68.606
49.400002	68.550
50.000000	68.503
50.799999	68.441
51.500000	68.388
52.200001	68.335
53.000000	68.276
53.799999	68.217
54.500000	68.166
55.200001	68.116
56.000000	68.060
57.000000	67.990
58.000000	67.921
59.000000	67.852
60.000000	67.785
60.799999	67.731
61.500000	67.684
62.200001	67.638
63.000000	67.585
64.000000	67.520
65.000000	67.454
66.000000	67.389
67.000000	67.325
68.000000	67.261
69.000000	67.197
70.000000	67.133
71.000000	67.069
72.000000	67.006
73.000000	66.942
74.000000	66.879
75.000000	66.816
76.199997	66.741
77.500000	66.659
78.800003	66.578
80.000000	66.504
81.199997	66.429
82.500000	66.349
83.800003	66.269
85.000000	66.195
86.199997	66.122
87.500000	66.043
88.500000	65.982
90.000000	65.892
91.199997	65.820
92.500000	65.743
93.800003	65.666
95.000000	65.595
96.199997	65.525
97.500000	65.450
98.800003	65.375
100.000000	65.307
101.500000	65.222
103.000000	65.139
104.400002	65.062
106.000000	64.975
107.500000	64.894
109.000000	64.815
110.599998	64.731
112.000000	64.659
113.800003	64.568
115.000000	64.508
117.199997	64.401
118.000000	64.362
120.599998	64.240
122.000000	64.175
124.099998	64.080
125.000000	64.040
126.500000	63.975
128.000000	63.910
131.500000	63.764
132.000000	63.743
134.000000	63.663
136.000000	63.584
138.000000	63.506
140.000000	63.431
143.000000	63.319
145.000000	63.247
147.500000	63.157
150.000000	63.069
152.500000	62.983
155.000000	62.897
157.500000	62.813
160.000000	62.729
162.500000	62.647
165.000000	62.565
167.500000	62.483
170.000000	62.403
172.500000	62.323
175.000000	62.244
177.500000	62.166
180.000000	62.088
182.500000	62.012
185.000000	61.936
187.500000	61.862
190.000000	61.788
192.500000	61.715
195.000000	61.644
197.500000	61.574
200.000000	61.505
203.000000	61.424
206.000000	61.345
209.000000	61.267
212.000000	61.192
214.000000	61.143
218.000000	61.048
220.000000	61.002
224.000000	60.912
227.000000	60.847
230.000000	60.784
233.000000	60.724
236.000000	60.665
240.000000	60.590
243.000000	60.536
247.000000	60.467
250.000000	60.417
254.000000	60.354
258.000000	60.294
262.000000	60.238
265.000000	60.197
269.000000	60.145
272.000000	60.108
276.000000	60.061
280.000000	60.016
285.000000	59.964
290.000000	59.915
295.000000	59.869
300.000000	59.826
304.000000	59.794
307.000000	59.771
311.000000	59.741
315.000000	59.714
320.000000	59.781
325.000000	59.750
330.000000	59.722
335.000000	59.695
340.000000	59.670
345.000000	59.646
350.000000	59.625
355.000000	59.604
360.000000	59.585
365.000000	59.567
370.000000	59.550
375.000000	59.535
382.000000	59.514
387.000000	59.401
395.000000	59.482
400.000000	59.471
406.000000	59.459
412.000000	59.449
418.000000	59.439
425.000000	59.429
431.000000	59.422
437.000000	59.415
444.000000	59.409
450.000000	59.404
455.000000	59.401
462.000000	59.498
468.000000	59.496
475.000000	59.495
482.000000	59.495
487.000000	59.496
494.000000	59.498
500.000000	59.400
508.000000	59.594
515.000000	59.601
522.000000	59.607
530.000000	59.614
538.000000	59.621
545.000000	59.627
552.000000	59.634
560.000000	59.642
570.000000	59.652
580.000000	59.664
590.000000	59.676
600.000000	59.689
608.000000	59.701
615.000000	59.712
622.000000	59.724
630.000000	59.738
640.000000	59.757
650.000000	59.776
660.000000	59.797
670.000000	59.818
680.000000	59.841
690.000000	59.864
700.000000	59.888
710.000000	59.911
720.000000	59.935
730.000000	59.961
740.000000	59.988
750.000000	60.016
762.000000	60.053
775.000000	60.096
788.000000	60.143
800.000000	60.190
812.000000	60.238
825.000000	60.293
838.000000	60.349
850.000000	60.402
862.000000	60.456
875.000000	60.517
885.000000	60.564
900.000000	60.637
912.000000	60.697
925.000000	60.764
938.000000	60.833
950.000000	60.898
962.000000	60.965
975.000000	61.040
988.000000	61.119
1000.000000	61.195
1015.000000	61.298
1030.000000	61.405
1044.000000	61.505
1060.000000	61.621
1075.000000	61.729
1090.000000	61.838
1106.000000	61.954
1120.000000	62.056
1138.000000	62.187
1150.000000	62.274
1172.000000	62.434
1180.000000	62.492
1206.000000	62.681
1220.000000	62.782
1241.000000	62.934
1250.000000	62.998
1265.000000	63.106
1280.000000	63.212
1315.000000	63.460
1320.000000	63.495
1340.000000	63.634
1360.000000	63.772
1380.000000	63.909
1400.000000	64.044
1430.000000	64.243
1450.000000	64.373
1475.000000	64.532
1500.000000	64.682
1525.000000	64.819
1550.000000	64.948
1575.000000	65.072
1600.000000	65.193
1625.000000	65.310
1650.000000	65.423
1675.000000	65.533
1700.000000	65.640
1725.000000	65.744
1750.000000	65.844
1775.000000	65.942
1800.000000	66.036
1825.000000	66.127
1850.000000	66.216
1875.000000	66.301
