* Measurement data measured by REW V5.20.7
* Source:
* Format: Comma/Tab/Space delimited data
* Dated: 16 Apr, 2023 9:38:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Format: Comma/Tab/Space delimited data 640 values loaded, 10 Hz to 20,074 Hz
* Measurement: IEF Neutral 711 2023
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.000 Hz
*
* Freq(Hz), SPL(dB)
10.000000, 2.781
10.150000, 2.781
10.300000, 2.780
10.440000, 2.780
10.600000, 2.780
10.750000, 2.780
10.900000, 2.780
11.060000, 2.780
11.200000, 2.780
11.380000, 2.780
11.500000, 2.780
11.720000, 2.779
11.800000, 2.779
12.060000, 2.779
12.200000, 2.779
12.410000, 2.779
12.500000, 2.779
12.650000, 2.779
12.800000, 2.779
13.150000, 2.779
13.200000, 2.779
13.400000, 2.778
13.600000, 2.778
13.800000, 2.778
14.000000, 2.778
14.300000, 2.778
14.500000, 2.778
14.750000, 2.778
15.000000, 2.778
15.250000, 2.778
15.500000, 2.778
15.750000, 2.778
16.000000, 2.778
16.250000, 2.778
16.500000, 2.778
16.750000, 2.778
17.000000, 2.778
17.250000, 2.778
17.500000, 2.778
17.750000, 2.778
18.000000, 2.779
18.250000, 2.779
18.500000, 2.779
18.750000, 2.779
19.000000, 2.780
19.250000, 2.780
19.500000, 2.780
19.750000, 2.782
20.000000, 2.786
20.299999, 2.774
20.600000, 2.766
20.900000, 2.771
21.200001, 2.771
21.400000, 2.771
21.799999, 2.769
22.000000, 2.768
22.400000, 2.768
22.700001, 2.740
23.000000, 2.741
23.299999, 2.744
23.600000, 2.744
24.000000, 2.744
24.299999, 2.743
24.700001, 2.739
25.000000, 2.737
25.400000, 2.710
25.799999, 2.715
26.200001, 2.716
26.500000, 2.716
26.900000, 2.716
27.200001, 2.715
27.600000, 2.713
28.000000, 2.708
28.500000, 2.682
29.000000, 2.689
29.500000, 2.689
30.000000, 2.689
30.400000, 2.687
30.700001, 2.685
31.100000, 2.685
31.500000, 2.663
32.000000, 2.659
32.500000, 2.662
33.000000, 2.662
33.500000, 2.661
34.000000, 2.659
34.500000, 2.651
35.000000, 2.648
35.500000, 2.636
36.000000, 2.633
36.500000, 2.635
37.000000, 2.634
37.500000, 2.632
38.200001, 2.623
38.700001, 2.608
39.500000, 2.607
40.000000, 2.608
40.599998, 2.608
41.200001, 2.606
41.799999, 2.605
42.500000, 2.581
43.099998, 2.576
43.700001, 2.580
44.400002, 2.580
45.000000, 2.580
45.500000, 2.578
46.200001, 2.576
46.799999, 2.553
47.500000, 2.550
48.200001, 2.553
48.700001, 2.553
49.400002, 2.552
50.000000, 2.550
50.799999, 2.533
51.500000, 2.524
52.200001, 2.526
53.000000, 2.526
53.799999, 2.525
54.500000, 2.523
55.200001, 2.510
56.000000, 2.497
57.000000, 2.499
58.000000, 2.498
59.000000, 2.498
60.000000, 2.479
60.799999, 2.463
61.500000, 2.471
62.200001, 2.472
63.000000, 2.470
64.000000, 2.460
65.000000, 2.446
66.000000, 2.444
67.000000, 2.444
68.000000, 2.443
69.000000, 2.430
70.000000, 2.416
71.000000, 2.417
72.000000, 2.416
73.000000, 2.418
74.000000, 2.396
