* Measurement data measured by REW V5.20.13
* Source: Psycho Filtered
* Format: 
* Dated: Apr 15, 2023 8:58:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW/Targets/711/Circumaural Targets/z - Legacy/KEMAR DF Test/Psycho.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   140.0 Hz  Gain  -0.10 dB Q   1.41
* Measurement: EQ Psycho
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	0.466
20.144928	0.466
20.290907	0.467
20.437943	0.467
20.586044	0.468
20.735220	0.469
20.885475	0.469
21.036821	0.470
21.189262	0.471
21.342808	0.472
21.497467	0.472
21.653246	0.473
21.810154	0.474
21.968201	0.475
22.127390	0.476
22.287735	0.477
22.449242	0.478
22.611917	0.479
22.775772	0.480
22.940815	0.481
23.107054	0.482
23.274498	0.482
23.443153	0.483
23.613033	0.484
23.784142	0.485
23.956491	0.486
24.130091	0.487
24.304947	0.488
24.481071	0.489
24.658470	0.490
24.837156	0.490
25.017136	0.491
25.198421	0.492
25.381020	0.493
25.564941	0.494
25.750195	0.495
25.936790	0.496
26.124741	0.496
26.314051	0.497
26.504732	0.498
26.696796	0.499
26.890253	0.500
27.085112	0.501
27.281382	0.502
27.479073	0.503
27.678198	0.504
27.878765	0.505
28.080786	0.506
28.284271	0.508
28.489231	0.509
28.695675	0.510
28.903616	0.511
29.113064	0.513
29.324028	0.514
29.536524	0.515
29.750557	0.516
29.966141	0.517
30.183289	0.517
30.402010	0.518
30.622314	0.520
30.844217	0.521
31.067726	0.522
31.292856	0.524
31.519617	0.525
31.748020	0.527
31.978081	0.528
32.209808	0.529
32.443211	0.531
32.678310	0.532
32.915108	0.533
33.153625	0.534
33.393871	0.535
33.635857	0.537
33.879597	0.538
34.125103	0.539
34.372387	0.539
34.621464	0.541
34.872345	0.542
35.125042	0.544
35.379574	0.545
35.635948	0.547
35.894180	0.548
36.154285	0.549
36.416275	0.551
36.680161	0.552
36.945961	0.554
37.213688	0.555
37.483353	0.557
37.754974	0.558
38.028561	0.559
38.304131	0.560
38.581699	0.561
38.861279	0.563
39.142883	0.564
39.426529	0.565
39.712231	0.567
40.000000	0.568
40.289856	0.570
40.581814	0.571
40.875885	0.573
41.172089	0.574
41.470440	0.576
41.770950	0.577
42.073643	0.579
42.378525	0.580
42.685616	0.582
42.994934	0.583
43.306492	0.585
43.620308	0.587
43.936401	0.588
44.254780	0.589
44.575470	0.591
44.898483	0.592
45.223835	0.594
45.551544	0.596
45.881630	0.597
46.214108	0.599
46.548996	0.601
46.886307	0.603
47.226067	0.604
47.568283	0.605
47.912983	0.607
48.260181	0.609
48.609894	0.611
48.962143	0.612
49.316940	0.614
49.674313	0.615
50.034271	0.616
50.396843	0.618
50.762039	0.620
51.129883	0.621
51.500389	0.623
51.873581	0.625
52.249481	0.626
52.628101	0.627
53.009464	0.629
53.393593	0.631
53.780506	0.633
54.170223	0.634
54.562763	0.636
54.958145	0.637
55.356396	0.639
55.757530	0.641
56.161572	0.643
56.568542	0.644
56.978462	0.646
57.391350	0.647
57.807232	0.648
58.226128	0.650
58.648056	0.652
59.073048	0.654
59.501114	0.655
59.932281	0.657
60.366577	0.659
60.804020	0.661
61.244629	0.663
61.688435	0.665
62.135452	0.666
62.585712	0.668
63.039234	0.670
63.496040	0.672
63.956161	0.674
64.419617	0.675
64.886421	0.677
65.356621	0.678
65.830215	0.680
66.307251	0.681
66.787743	0.683
67.271713	0.685
67.759193	0.687
68.250206	0.689
68.744774	0.690
69.242928	0.692
69.744690	0.694
70.250084	0.697
70.759148	0.698
71.271896	0.700
71.788361	0.702
72.308571	0.704
72.832550	0.706
73.360321	0.707
73.891922	0.710
74.427376	0.712
74.966705	0.714
75.509949	0.715
76.057121	0.717
76.608261	0.719
77.163399	0.722
77.722557	0.723
78.285767	0.725
78.853058	0.727
79.424461	0.729
80.000000	0.731
80.579712	0.732
81.163628	0.735
81.751770	0.737
82.344177	0.739
82.940880	0.742
83.541901	0.743
84.147285	0.746
84.757050	0.748
85.371231	0.750
85.989868	0.753
86.612984	0.754
87.240616	0.757
87.872803	0.760
88.509560	0.762
89.150940	0.765
89.796967	0.767
90.447670	0.770
91.103088	0.772
91.763260	0.774
92.428215	0.776
93.097992	0.778
93.772614	0.781
94.452133	0.784
95.136566	0.787
95.825966	0.789
96.520363	0.793
97.219788	0.796
97.924286	0.799
98.633881	0.802
99.348625	0.804
100.068542	0.807
100.793686	0.811
101.524078	0.814
102.259766	0.816
103.000778	0.820
103.747162	0.823
104.498962	0.825
105.256203	0.829
106.018929	0.832
106.787186	0.836
107.561012	0.840
108.340446	0.843
109.125526	0.847
109.916290	0.852
110.712791	0.856
111.515060	0.860
112.323143	0.864
113.137085	0.869
113.956924	0.873
114.782700	0.877
115.614464	0.884
116.452255	0.892
117.296112	0.901
118.146095	0.912
119.002228	0.924
119.864563	0.937
120.733154	0.952
121.608040	0.968
122.489258	0.984
123.376869	1.001
124.270905	1.019
125.171425	1.037
126.078468	1.054
126.992081	1.073
127.912323	1.091
128.839233	1.107
129.772842	1.124
130.713242	1.139
131.660431	1.154
132.614502	1.167
