* Measurement data measured by REW V5.20.13
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/IEM Targets/Listener/TEST.txt
* Format: Comma/Tab/Space delimited data
* Dated: Mar 3, 2023 6:28:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/IEM Targets/Listener/TEST.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: TEST
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	5.001
20.299999	5.000
20.600000	4.997
20.900000	4.994
21.200001	4.991
21.400000	4.989
21.799999	4.985
22.000000	4.983
22.400000	4.979
22.700001	4.976
23.000000	4.972
23.299999	4.969
23.600000	4.966
24.000000	4.962
24.299999	4.958
24.700001	4.954
25.000000	4.950
25.400000	4.946
25.799999	4.941
26.200001	4.937
26.500000	4.933
26.900000	4.928
27.200001	4.925
27.600000	4.920
28.000000	4.915
28.500000	4.908
29.000000	4.902
29.500000	4.896
30.000000	4.889
30.400000	4.884
30.700001	4.880
31.100000	4.875
31.500000	4.869
32.000000	4.862
32.500000	4.856
33.000000	4.849
33.500000	4.842
34.000000	4.834
34.500000	4.827
35.000000	4.820
35.500000	4.813
36.000000	4.805
36.500000	4.798
37.000000	4.790
37.500000	4.783
38.200001	4.772
38.700001	4.765
39.500000	4.752
40.000000	4.744
40.599998	4.735
41.200001	4.725
41.799999	4.716
42.500000	4.704
43.099998	4.695
43.700001	4.685
44.400002	4.673
45.000000	4.663
45.500000	4.655
46.200001	4.643
46.799999	4.633
47.500000	4.621
48.200001	4.609
48.700001	4.601
49.400002	4.588
50.000000	4.578
50.799999	4.564
51.500000	4.552
52.200001	4.540
53.000000	4.525
53.799999	4.511
54.500000	4.499
55.200001	4.486
56.000000	4.472
57.000000	4.454
58.000000	4.436
59.000000	4.418
60.000000	4.400
60.799999	4.385
61.500000	4.372
62.200001	4.360
63.000000	4.345
64.000000	4.327
65.000000	4.309
66.000000	4.290
67.000000	4.272
68.000000	4.254
69.000000	4.236
70.000000	4.217
71.000000	4.199
72.000000	4.181
73.000000	4.163
74.000000	4.145
75.000000	4.126
76.199997	4.105
77.500000	4.081
78.800003	4.058
80.000000	4.037
81.199997	4.015
82.500000	3.992
83.800003	3.969
85.000000	3.948
86.199997	3.927
87.500000	3.904
88.500000	3.887
90.000000	3.861
91.199997	3.841
92.500000	3.819
93.800003	3.797
95.000000	3.777
96.199997	3.757
97.500000	3.735
98.800003	3.714
100.000000	3.694
101.500000	3.670
103.000000	3.646
104.400002	3.623
106.000000	3.598
107.500000	3.575
109.000000	3.552
110.599998	3.527
112.000000	3.506
113.800003	3.479
115.000000	3.461
117.199997	3.429
118.000000	3.417
120.599998	3.379
122.000000	3.359
124.099998	3.330
125.000000	3.317
126.500000	3.297
128.000000	3.276
131.500000	3.229
132.000000	3.223
134.000000	3.196
136.000000	3.170
138.000000	3.145
140.000000	3.120
143.000000	3.083
145.000000	3.058
147.500000	3.028
150.000000	2.999
152.500000	2.970
155.000000	2.941
157.500000	2.913
160.000000	2.886
162.500000	2.859
165.000000	2.832
167.500000	2.806
170.000000	2.780
172.500000	2.754
175.000000	2.729
177.500000	2.705
180.000000	2.681
182.500000	2.657
185.000000	2.633
187.500000	2.610
190.000000	2.588
192.500000	2.565
195.000000	2.543
197.500000	2.521
200.000000	2.500
203.000000	2.475
206.000000	2.450
209.000000	2.426
212.000000	2.402
214.000000	2.386
218.000000	2.356
220.000000	2.340
224.000000	2.311
227.000000	2.289
230.000000	2.268
233.000000	2.247
236.000000	2.226
240.000000	2.199
243.000000	2.179
247.000000	2.153
250.000000	2.134
254.000000	2.110
258.000000	2.086
262.000000	2.062
265.000000	2.045
269.000000	2.022
272.000000	2.006
276.000000	1.985
280.000000	1.964
285.000000	1.939
290.000000	1.914
295.000000	1.891
300.000000	1.868
304.000000	1.850
307.000000	1.838
311.000000	1.821
315.000000	1.805
320.000000	1.785
325.000000	1.767
330.000000	1.748
335.000000	1.731
340.000000	1.714
345.000000	1.698
350.000000	1.682
355.000000	1.666
360.000000	1.651
365.000000	1.636
370.000000	1.622
375.000000	1.607
382.000000	1.587
387.000000	1.573
395.000000	1.550
400.000000	1.536
406.000000	1.519
412.000000	1.502
418.000000	1.485
425.000000	1.465
431.000000	1.448
437.000000	1.431
444.000000	1.412
450.000000	1.395
455.000000	1.382
462.000000	1.363
468.000000	1.348
475.000000	1.330
482.000000	1.312
487.000000	1.300
494.000000	1.284
500.000000	1.269
508.000000	1.251
515.000000	1.235
522.000000	1.220
530.000000	1.202
538.000000	1.184
545.000000	1.169
552.000000	1.154
560.000000	1.136
570.000000	1.114
580.000000	1.091
590.000000	1.068
600.000000	1.045
608.000000	1.026
615.000000	1.008
622.000000	0.991
630.000000	0.970
640.000000	0.944
650.000000	0.916
660.000000	0.887
670.000000	0.857
680.000000	0.827
690.000000	0.795
700.000000	0.762
710.000000	0.729
720.000000	0.694
730.000000	0.659
740.000000	0.623
750.000000	0.586
762.000000	0.541
775.000000	0.493
788.000000	0.444
800.000000	0.399
812.000000	0.355
825.000000	0.309
838.000000	0.266
850.000000	0.228
862.000000	0.193
875.000000	0.158
885.000000	0.135
900.000000	0.107
912.000000	0.089
925.000000	0.076
938.000000	0.070
950.000000	0.071
962.000000	0.077
975.000000	0.092
988.000000	0.113
1000.000000	0.140
1015.000000	0.180
1030.000000	0.230
1044.000000	0.284
1060.000000	0.353
1075.000000	0.425
1090.000000	0.503
1106.000000	0.591
1120.000000	0.673
1138.000000	0.782
1150.000000	0.858
1172.000000	0.999
1180.000000	1.052
1206.000000	1.224
1220.000000	1.317
1241.000000	1.456
1250.000000	1.516
1265.000000	1.613
1280.000000	1.709
1315.000000	1.922
1320.000000	1.951
1340.000000	2.064
1360.000000	2.170
1380.000000	2.270
1400.000000	2.365
1430.000000	2.499
1450.000000	2.584
1475.000000	2.689
1500.000000	2.792
1525.000000	2.894
1550.000000	2.997
1575.000000	3.102
1600.000000	3.209
1625.000000	3.318
1650.000000	3.429
1675.000000	3.543
1700.000000	3.660
1725.000000	3.781
1750.000000	3.904
1775.000000	4.032
1800.000000	4.162
1825.000000	4.296
1850.000000	4.434
1875.000000	4.574
1900.000000	4.717
1925.000000	4.862
1950.000000	5.011
1975.000000	5.161
2000.000000	5.314
2030.000000	5.499
2060.000000	5.686
2090.000000	5.875
2120.000000	6.066
2140.000000	6.193
2180.000000	6.449
2200.000000	6.577
2240.000000	6.834
2270.000000	7.025
2300.000000	7.216
2330.000000	7.405
2360.000000	7.592
2400.000000	7.837
2430.000000	8.018
2470.000000	8.251
2500.000000	8.421
2540.000000	8.637
2580.000000	8.841
2620.000000	9.030
2650.000000	9.161
2690.000000	9.319
2720.000000	9.425
2760.000000	9.547
2800.000000	9.646
2850.000000	9.737
2900.000000	9.791
2950.000000	9.808
3000.000000	9.791
3040.000000	9.755
3070.000000	9.715
3110.000000	9.648
3150.000000	9.566
3200.000000	9.445
3250.000000	9.307
3300.000000	9.157
3350.000000	8.997
3400.000000	8.830
3450.000000	8.658
3500.000000	8.483
3550.000000	8.307
3600.000000	8.131
3650.000000	7.955
3700.000000	7.781
3750.000000	7.609
3820.000000	7.372
3870.000000	7.206
3950.000000	6.945
4000.000000	6.786
4060.000000	6.598
4120.000000	6.415
4180.000000	6.236
4250.000000	6.033
4310.000000	5.863
4370.000000	5.697
4440.000000	5.510
4500.000000	5.353
4550.000000	5.226
4620.000000	5.054
4680.000000	4.911
4750.000000	4.749
4820.000000	4.594
4870.000000	4.487
4940.000000	4.343
5000.000000	4.224
5080.000000	4.074
5150.000000	3.949
5220.000000	3.830
5300.000000	3.703
5380.000000	3.584
5450.000000	3.487
5520.000000	3.396
5600.000000	3.300
5700.000000	3.191
5800.000000	3.094
5900.000000	3.009
6000.000000	2.935
6080.000000	2.884
6150.000000	2.844
6220.000000	2.809
6300.000000	2.775
6400.000000	2.739
6500.000000	2.710
6600.000000	2.688
6700.000000	2.671
6800.000000	2.659
6900.000000	2.650
7000.000000	2.644
7100.000000	2.639
7200.000000	2.634
7300.000000	2.629
7400.000000	2.623
7500.000000	2.614
7620.000000	2.600
7750.000000	2.578
7880.000000	2.549
8000.000000	2.516
8120.000000	2.477
8250.000000	2.426
8380.000000	2.368
8500.000000	2.308
8620.000000	2.242
8750.000000	2.165
8850.000000	2.103
9000.000000	2.004
9120.000000	1.923
9250.000000	1.832
9380.000000	1.738
9500.000000	1.651
9620.000000	1.564
9750.000000	1.469
9880.000000	1.375
10000.000000	1.288
10150.000000	1.180
10300.000000	1.072
10440.000000	0.973
10600.000000	0.860
10750.000000	0.755
10900.000000	0.650
11060.000000	0.538
11200.000000	0.441
11380.000000	0.315
11500.000000	0.230
11720.000000	0.074
11800.000000	0.017
12060.000000	-0.171
12200.000000	-0.272
12410.000000	-0.426
12500.000000	-0.491
12650.000000	-0.600
12800.000000	-0.707
13150.000000	-0.949
13200.000000	-0.982
13400.000000	-1.112
13600.000000	-1.235
13800.000000	-1.353
14000.000000	-1.469
14300.000000	-1.638
14500.000000	-1.751
14750.000000	-1.893
15000.000000	-2.036
15250.000000	-2.179
15500.000000	-2.321
15750.000000	-2.459
16000.000000	-2.592
16250.000000	-2.721
16500.000000	-2.844
16750.000000	-2.964
17000.000000	-3.082
17250.000000	-3.201
17500.000000	-3.320
17750.000000	-3.441
18000.000000	-3.563
18250.000000	-3.682
18500.000000	-3.798
18750.000000	-3.909
19000.000000	-4.015
19250.000000	-4.116
19500.000000	-4.210
19750.000000	-4.292
20000.000000	-4.343
