* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Feb 4, 2023 7:29:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = KEMAR DF HRTF B = Target KEMAR DF HRTF
* Measurement: A times B
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	88.368
20.299999	88.328
20.600000	88.298
20.900000	88.269
21.200001	88.240
21.400000	88.221
21.799999	88.184
22.000000	88.166
22.400000	88.129
22.700001	88.102
23.000000	88.076
23.299999	88.050
23.600000	88.024
24.000000	87.990
24.299999	87.965
24.700001	87.932
25.000000	87.907
25.400000	87.875
25.799999	87.844
26.200001	87.813
26.500000	87.790
26.900000	87.759
27.200001	87.737
27.600000	87.707
28.000000	87.678
28.500000	87.643
29.000000	87.608
29.500000	87.573
30.000000	87.539
30.400000	87.512
30.700001	87.492
31.100000	87.466
31.500000	87.441
32.000000	87.409
32.500000	87.377
33.000000	87.347
33.500000	87.316
34.000000	87.286
34.500000	87.257
35.000000	87.228
35.500000	87.199
36.000000	87.171
36.500000	87.143
37.000000	87.116
37.500000	87.088
38.200001	87.051
38.700001	87.025
39.500000	86.983
40.000000	86.958
40.599998	86.928
41.200001	86.898
41.799999	86.869
42.500000	86.836
43.099998	86.807
43.700001	86.779
44.400002	86.748
45.000000	86.720
45.500000	86.698
46.200001	86.667
46.799999	86.642
47.500000	86.611
48.200001	86.581
48.700001	86.561
49.400002	86.532
50.000000	86.507
50.799999	86.475
51.500000	86.448
52.200001	86.420
53.000000	86.390
53.799999	86.359
54.500000	86.333
55.200001	86.308
56.000000	86.278
57.000000	86.243
58.000000	86.208
59.000000	86.173
60.000000	86.139
60.799999	86.112
61.500000	86.089
62.200001	86.066
63.000000	86.041
64.000000	86.009
65.000000	85.977
66.000000	85.947
67.000000	85.916
68.000000	85.886
69.000000	85.857
70.000000	85.828
