Freq[Hz]     dBSPL  Phase[Deg]
5.00000     73.394   -27.712
5.07273     73.376   -27.712
5.14651     73.353   -27.713
5.22137     73.322   -27.714
5.29732     73.288   -27.718
5.37437     73.250   -27.723
5.45254     73.212   -27.729
5.53185     73.174   -27.734
5.61231     73.136   -27.741
5.69394     73.098   -27.747
5.77676     73.060   -27.753
5.86079     73.022   -27.760
5.94604     72.984   -27.767
6.03252     72.946   -27.773
6.12027     72.908   -27.780
6.20929     72.870   -27.788
6.29961     72.832   -27.795
6.39124     72.794   -27.802
6.48420     72.756   -27.810
6.57851     72.718   -27.818
6.67420     72.680   -27.825
6.77128     72.642   -27.833
6.86977     72.604   -27.842
6.96969     72.566   -27.850
7.07107     72.528   -27.858
7.17392     72.490   -27.867
7.27827     72.452   -27.875
7.38413     72.414   -27.884
7.49154     72.376   -27.893
7.60050     72.338   -27.902
7.71105     72.300   -27.912
7.82321     72.262   -27.921
7.93701     72.224   -27.931
8.05245     72.186   -27.941
8.16958     72.148   -27.951
8.28841     72.110   -27.961
8.40896     72.072   -27.971
8.53128     72.034   -27.982
8.65537     71.996   -27.992
8.78126     71.958   -28.003
8.90899     71.920   -28.014
9.03857     71.882   -28.025
9.17004     71.844   -28.037
9.30342     71.806   -28.048
9.43874     71.768   -28.060
9.57603     71.730   -28.072
9.71532     71.691   -28.084
9.85663     71.653   -28.096
10.0000     71.615   -28.109
10.1455     71.577   -28.121
10.2930     71.539   -28.134
10.4427     71.501   -28.148
10.5946     71.463   -28.161
10.7487     71.425   -28.175
10.9051     71.387   -28.188
11.0637     71.349   -28.202
11.2246     71.311   -28.217
11.3879     71.273   -28.231
11.5535     71.235   -28.246
11.7216     71.197   -28.261
11.8921     71.159   -28.276
12.0650     71.121   -28.292
12.2405     71.083   -28.308
12.4186     71.045   -28.324
12.5992     71.007   -28.340
12.7825     70.969   -28.356
12.9684     70.931   -28.373
13.1570     70.893   -28.390
13.3484     70.855   -28.408
13.5426     70.817   -28.426
13.7395     70.779   -28.444
13.9394     70.741   -28.462
14.1421     70.703   -28.481
14.3478     70.665   -28.499
14.5565     70.627   -28.519
14.7683     70.589   -28.538
14.9831     70.551   -28.558
15.2010     70.513   -28.579
15.4221     70.475   -28.599
15.6464     70.437   -28.621
15.8740     70.399   -28.642
16.1049     70.361   -28.664
16.3392     70.323   -28.686
16.5768     70.285   -28.709
16.8179     70.247   -28.732
17.0626     70.209   -28.755
17.3107     70.171   -28.779
17.5625     70.133   -28.804
17.8180     70.095   -28.828
18.0771     70.057   -28.854
18.3401     70.019   -28.879
18.6068     69.981   -28.905
18.8775     69.943   -28.932
19.1521     69.905   -28.959
19.4306     69.867   -28.987
19.7133     69.829   -29.015
20.0000     69.791   -29.044
20.2909     69.753   -29.073
20.5860     69.715   -29.103
20.8855     69.677   -29.133
21.1893     69.639   -29.164
21.4975     69.601   -29.195
21.8102     69.563   -29.227
22.1274     69.525   -29.260
22.4492     69.487   -29.293
22.7758     69.449   -29.327
23.1071     69.411   -29.362
23.4432     69.373   -29.397
23.7841     69.335   -29.433
24.1301     69.297   -29.469
24.4811     69.259   -29.507
24.8372     69.221   -29.545
25.1984     69.183   -29.583
25.5649     69.145   -29.623
25.9368     69.107   -29.663
26.3141     69.069   -29.704
26.6968     69.031   -29.745
27.0851     68.993   -29.787
27.4791     68.955   -29.830
27.8788     68.917   -29.873
28.2843     68.879   -29.917
28.6957     68.841   -29.961
29.1131     68.803   -30.005
29.5365     68.765   -30.048
29.9661     68.727   -30.091
30.4020     68.689   -30.133
30.8442     68.651   -30.171
31.2929     68.613   -30.203
31.7480     68.576   -30.226
32.2098     68.541   -30.238
32.6783     68.511   -30.244
33.1536     68.488   -30.268
33.6359     68.470   -30.328
34.1251     68.454   -30.443
