* Measurement data measured by REW V5.20.13
* Source: C:\Users\tpgnm\Downloads\MRS.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 1, 2023 10:43:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\tpgnm\Downloads\MRS.txt Format: Comma/Tab/Space delimited data 8 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: MRS
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	104.960
20.299999	104.955
20.600000	104.949
20.900000	104.942
21.200001	104.933
21.400000	104.927
21.799999	104.914
22.000000	104.907
22.400000	104.893
22.700001	104.882
23.000000	104.871
23.299999	104.860
23.600000	104.849
24.000000	104.834
24.299999	104.823
24.700001	104.808
25.000000	104.797
25.400000	104.783
25.799999	104.769
26.200001	104.755
26.500000	104.744
26.900000	104.731
27.200001	104.721
27.600000	104.708
28.000000	104.694
28.500000	104.678
29.000000	104.662
29.500000	104.647
30.000000	104.632
30.400000	104.620
30.700001	104.611
31.100000	104.599
31.500000	104.587
32.000000	104.573
32.500000	104.559
33.000000	104.545
33.500000	104.531
34.000000	104.518
34.500000	104.504
35.000000	104.491
35.500000	104.478
36.000000	104.466
36.500000	104.453
37.000000	104.441
37.500000	104.429
38.200001	104.412
38.700001	104.400
39.500000	104.381
40.000000	104.370
40.599998	104.356
41.200001	104.343
41.799999	104.330
42.500000	104.315
43.099998	104.302
43.700001	104.289
44.400002	104.275
45.000000	104.263
45.500000	104.252
46.200001	104.239
46.799999	104.227
47.500000	104.213
48.200001	104.200
48.700001	104.190
49.400002	104.177
50.000000	104.166
50.799999	104.152
51.500000	104.139
52.200001	104.126
53.000000	104.112
53.799999	104.098
54.500000	104.085
55.200001	104.073
56.000000	104.058
57.000000	104.040
58.000000	104.022
59.000000	104.003
60.000000	103.984
60.799999	103.968
61.500000	103.955
62.200001	103.941
63.000000	103.924
64.000000	103.904
65.000000	103.883
66.000000	103.863
67.000000	103.842
68.000000	103.822
69.000000	103.802
70.000000	103.782
71.000000	103.762
72.000000	103.742
73.000000	103.723
74.000000	103.703
75.000000	103.684
76.199997	103.662
77.500000	103.638
78.800003	103.614
80.000000	103.593
81.199997	103.572
82.500000	103.549
83.800003	103.527
85.000000	103.507
86.199997	103.487
87.500000	103.465
88.500000	103.449
90.000000	103.425
91.199997	103.406
92.500000	103.386
93.800003	103.366
95.000000	103.348
96.199997	103.331
97.500000	103.311
98.800003	103.293
100.000000	103.275
101.500000	103.254
103.000000	103.233
104.400002	103.214
106.000000	103.193
107.500000	103.173
109.000000	103.153
110.599998	103.132
112.000000	103.114
113.800003	103.092
115.000000	103.077
117.199997	103.050
118.000000	103.040
120.599998	103.009
122.000000	102.993
124.099998	102.968
125.000000	102.958
126.500000	102.941
128.000000	102.925
131.500000	102.886
132.000000	102.881
134.000000	102.859
136.000000	102.838
138.000000	102.818
140.000000	102.797
143.000000	102.767
145.000000	102.747
147.500000	102.723
150.000000	102.699
152.500000	102.676
155.000000	102.652
157.500000	102.630
160.000000	102.607
162.500000	102.585
165.000000	102.564
167.500000	102.542
170.000000	102.521
172.500000	102.500
175.000000	102.480
177.500000	102.460
180.000000	102.440
182.500000	102.420
185.000000	102.401
187.500000	102.382
190.000000	102.363
192.500000	102.344
195.000000	102.326
197.500000	102.308
200.000000	102.290
203.000000	102.269
206.000000	102.248
209.000000	102.227
212.000000	102.207
214.000000	102.194
218.000000	102.167
220.000000	102.154
224.000000	102.129
227.000000	102.110
230.000000	102.091
233.000000	102.073
236.000000	102.055
240.000000	102.031
243.000000	102.013
247.000000	101.990
250.000000	101.973
254.000000	101.950
258.000000	101.928
262.000000	101.906
265.000000	101.890
269.000000	101.869
272.000000	101.853
276.000000	101.832
280.000000	101.812
285.000000	101.786
290.000000	101.762
295.000000	101.737
300.000000	101.714
304.000000	101.695
307.000000	101.681
311.000000	101.662
315.000000	101.644
320.000000	101.622
325.000000	101.600
330.000000	101.578
335.000000	101.557
340.000000	101.536
345.000000	101.515
350.000000	101.494
355.000000	101.474
360.000000	101.454
365.000000	101.435
370.000000	101.415
375.000000	101.396
382.000000	101.370
387.000000	101.352
395.000000	101.322
400.000000	101.305
406.000000	101.283
412.000000	101.262
418.000000	101.242
425.000000	101.218
431.000000	101.198
437.000000	101.179
444.000000	101.156
450.000000	101.137
455.000000	101.121
462.000000	101.100
468.000000	101.081
475.000000	101.060
482.000000	101.039
487.000000	101.025
494.000000	101.004
500.000000	100.987
508.000000	100.965
515.000000	100.945
522.000000	100.926
530.000000	100.904
538.000000	100.883
545.000000	100.865
552.000000	100.847
560.000000	100.826
570.000000	100.801
580.000000	100.776
590.000000	100.752
600.000000	100.728
608.000000	100.709
615.000000	100.693
622.000000	100.677
630.000000	100.659
640.000000	100.636
650.000000	100.614
660.000000	100.593
670.000000	100.571
680.000000	100.550
690.000000	100.529
700.000000	100.509
710.000000	100.489
720.000000	100.469
730.000000	100.450
740.000000	100.430
750.000000	100.411
762.000000	100.389
775.000000	100.365
788.000000	100.343
800.000000	100.322
812.000000	100.302
825.000000	100.281
838.000000	100.262
850.000000	100.245
862.000000	100.230
875.000000	100.216
885.000000	100.206
900.000000	100.196
912.000000	100.191
925.000000	100.190
938.000000	100.194
950.000000	100.204
962.000000	100.219
975.000000	100.241
988.000000	100.272
1000.000000	100.306
1015.000000	100.358
1030.000000	100.418
1044.000000	100.482
1060.000000	100.561
1075.000000	100.641
1090.000000	100.724
1106.000000	100.817
1120.000000	100.899
1138.000000	101.007
1150.000000	101.079
1172.000000	101.211
1180.000000	101.259
1206.000000	101.414
1220.000000	101.497
1241.000000	101.620
1250.000000	101.673
1265.000000	101.759
1280.000000	101.844
1315.000000	102.040
1320.000000	102.068
1340.000000	102.177
1360.000000	102.285
1380.000000	102.391
1400.000000	102.496
1430.000000	102.650
1450.000000	102.751
1475.000000	102.876
1500.000000	102.998
1525.000000	103.119
1550.000000	103.237
1575.000000	103.354
1600.000000	103.468
1625.000000	103.581
1650.000000	103.692
1675.000000	103.802
1700.000000	103.910
1725.000000	104.016
1750.000000	104.121
1775.000000	104.224
1800.000000	104.326
1825.000000	104.426
1850.000000	104.525
1875.000000	104.623
1900.000000	104.720
1925.000000	104.815
1950.000000	104.909
1975.000000	105.001
2000.000000	105.093
2030.000000	105.201
2060.000000	105.308
2090.000000	105.413
2120.000000	105.517
2140.000000	105.585
2180.000000	105.720
2200.000000	105.786
2240.000000	105.917
2270.000000	106.013
