* Measurement data measured by REW V5.20.3
* Format: Comma/Tab/Space delimited data
* Dated: 21-Oct-2021 09:02:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: VSG Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.105	0.0000
20.299999	64.105	0.0000
20.600000	64.106	0.0000
20.900000	64.107	0.0000
21.200001	64.108	0.0000
21.400000	64.109	0.0000
21.799999	64.111	0.0000
22.000000	64.112	0.0000
22.400000	64.114	0.0000
22.700001	64.116	0.0000
23.000000	64.117	0.0000
23.299999	64.119	0.0000
23.600000	64.121	0.0000
24.000000	64.123	0.0000
24.299999	64.124	0.0000
24.700001	64.126	0.0000
25.000000	64.128	0.0000
25.400000	64.130	0.0000
25.799999	64.132	0.0000
26.200001	64.134	0.0000
26.500000	64.136	0.0000
26.900000	64.138	0.0000
27.200001	64.139	0.0000
27.600000	64.141	0.0000
28.000000	64.143	0.0000
28.500000	64.145	0.0000
29.000000	64.147	0.0000
29.500000	64.149	0.0000
30.000000	64.151	0.0000
30.400000	64.152	0.0000
30.700001	64.153	0.0000
31.100000	64.155	0.0000
31.500000	64.156	0.0000
32.000000	64.157	0.0000
32.500000	64.159	0.0000
33.000000	64.160	0.0000
33.500000	64.162	0.0000
34.000000	64.163	0.0000
34.500000	64.163	0.0000
35.000000	64.164	0.0000
35.500000	64.165	0.0000
36.000000	64.165	0.0000
36.500000	64.165	0.0000
37.000000	64.165	0.0000
37.500000	64.165	0.0000
38.200001	64.165	0.0000
38.700001	64.164	0.0000
39.500000	64.163	0.0000
40.000000	64.162	0.0000
40.599998	64.161	0.0000
41.200001	64.159	0.0000
41.799999	64.157	0.0000
42.500000	64.154	0.0000
43.099998	64.151	0.0000
43.700001	64.148	0.0000
44.400002	64.144	0.0000
45.000000	64.140	0.0000
45.500000	64.136	0.0000
46.200001	64.130	0.0000
46.799999	64.125	0.0000
47.500000	64.118	0.0000
48.200001	64.110	0.0000
48.700001	64.104	0.0000
49.400002	64.095	0.0000
50.000000	64.087	0.0000
50.799999	64.075	0.0000
51.500000	64.063	0.0000
52.200001	64.051	0.0000
53.000000	64.037	0.0000
53.799999	64.023	0.0000
54.500000	64.010	0.0000
55.200001	63.996	0.0000
56.000000	63.980	0.0000
57.000000	63.961	0.0000
58.000000	63.941	0.0000
59.000000	63.921	0.0000
60.000000	63.902	0.0000
60.799999	63.886	0.0000
61.500000	63.872	0.0000
62.200001	63.858	0.0000
63.000000	63.842	0.0000
64.000000	63.822	0.0000
65.000000	63.802	0.0000
66.000000	63.782	0.0000
67.000000	63.762	0.0000
68.000000	63.742	0.0000
69.000000	63.722	0.0000
70.000000	63.702	0.0000
71.000000	63.682	0.0000
72.000000	63.662	0.0000
73.000000	63.642	0.0000
74.000000	63.621	0.0000
75.000000	63.601	0.0000
76.199997	63.577	0.0000
77.500000	63.551	0.0000
78.800003	63.525	0.0000
80.000000	63.500	0.0000
81.199997	63.476	0.0000
82.500000	63.450	0.0000
