* Measurement data measured by REW V5.20.5
* Source: /Users/griff/Desktop/REW Curves/Harman2013OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 1, 2022 1:57:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW Curves/Harman2013OE.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Harman2013OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.868 -7.8911
20.144928 91.865 -7.8821
20.290907 91.862 -7.8724
20.437943 91.860 -7.8620
20.586044 91.857 -7.8510
20.735220 91.854 -7.8392
20.885475 91.852 -7.8267
21.036819 91.849 -7.8135
21.189260 91.847 -7.7996
21.342806 91.845 -7.7848
21.497465 91.843 -7.7694
21.653244 91.842 -7.7532
21.810152 91.840 -7.7363
21.968197 91.839 -7.7187
22.127388 91.837 -7.7004
22.287733 91.836 -7.6815
22.449240 91.835 -7.6620
22.611916 91.835 -7.6419
22.775770 91.834 -7.6213
22.940813 91.834 -7.6001
23.107052 91.833 -7.5785
23.274494 91.833 -7.5566
23.443151 91.833 -7.5342
23.613029 91.833 -7.5115
23.784140 91.833 -7.4885
23.956490 91.833 -7.4652
24.130089 91.834 -7.4417
24.304945 91.834 -7.4180
24.481070 91.834 -7.3942
24.658470 91.835 -7.3702
24.837156 91.835 -7.3460
25.017136 91.836 -7.3219
25.198420 91.836 -7.2976
25.381018 91.836 -7.2734
25.564939 91.837 -7.2492
25.750193 91.837 -7.2250
25.936789 91.837 -7.2010
26.124737 91.837 -7.1772
26.314047 91.837 -7.1535
26.504730 91.837 -7.1302
26.696795 91.837 -7.1072
26.890251 91.837 -7.0847
27.085110 91.837 -7.0627
27.281380 91.837 -7.0413
27.479073 91.837 -7.0206
27.678198 91.837 -7.0007
27.878765 91.837 -6.9818
28.080786 91.836 -6.9638
28.284271 91.836 -6.9470
28.489231 91.836 -6.9314
28.695675 91.836 -6.9171
28.903616 91.835 -6.9042
29.113064 91.835 -6.8929
29.324030 91.835 -6.8831
29.536524 91.835 -6.8751
29.750557 91.835 -6.8689
29.966143 91.835 -6.8645
30.183290 91.835 -6.8622
30.402012 91.835 -6.8619
30.622318 91.835 -6.8637
30.844221 91.835 -6.8678
31.067732 91.835 -6.8742
31.292862 91.836 -6.8829
31.519623 91.836 -6.8942
31.748028 91.837 -6.9079
31.978086 91.837 -6.9243
32.209812 91.838 -6.9433
32.443218 91.839 -6.9651
32.678314 91.840 -6.9897
32.915115 91.841 -7.0171
33.153633 91.841 -7.0474
33.393879 91.842 -7.0806
33.635864 91.843 -7.1167
33.879604 91.844 -7.1558
34.125111 91.845 -7.1979
34.372395 91.846 -7.2428
34.621471 91.847 -7.2906
34.872353 91.847 -7.3413
35.125053 91.848 -7.3947
35.379585 91.848 -7.4508
35.635960 91.849 -7.5096
35.894192 91.849 -7.5708
36.154297 91.848 -7.6343
36.416286 91.848 -7.7002
36.680176 91.847 -7.7681
36.945976 91.846 -7.8380
37.213703 91.845 -7.9096
37.483368 91.843 -7.9829
37.754990 91.842 -8.0577
38.028580 91.840 -8.1337
38.304150 91.837 -8.2109
38.581718 91.834 -8.2890
38.861298 91.831 -8.3680
39.142902 91.828 -8.4475
39.426548 91.824 -8.5276
39.712250 91.820 -8.6079
40.000023 91.816 -8.6885
40.289879 91.811 -8.7691
40.581837 91.806 -8.8496
40.875908 91.801 -8.9299
41.172112 91.795 -9.0099
41.470463 91.790 -9.0895
41.770973 91.784 -9.1687
42.073662 91.778 -9.2473
42.378544 91.771 -9.3254
42.685635 91.765 -9.4029
42.994953 91.758 -9.4798
43.306511 91.751 -9.5560
43.620327 91.744 -9.6315
43.936417 91.737 -9.7065
44.254799 91.730 -9.7808
44.575489 91.723 -9.8545
44.898502 91.715 -9.9277
45.223854 91.708 -10.0004
45.551563 91.700 -10.0727
45.881649 91.693 -10.1445
46.214127 91.685 -10.2160
46.549015 91.678 -10.2873
46.886330 91.670 -10.3583
47.226086 91.662 -10.4292
47.568306 91.655 -10.5000
47.913006 91.647 -10.5708
48.260204 91.639 -10.6417
48.609917 91.632 -10.7127
48.962166 91.624 -10.7838
49.316967 91.616 -10.8553
49.674339 91.608 -10.9270
50.034302 91.600 -10.9991
50.396870 91.592 -11.0717
50.762066 91.584 -11.1447
51.129910 91.576 -11.2183
51.500420 91.568 -11.2924
51.873611 91.560 -11.3674
52.249508 91.552 -11.4428
52.628128 91.544 -11.5190
53.009495 91.535 -11.5961
53.393623 91.527 -11.6739
53.780537 91.518 -11.7525
54.170254 91.509 -11.8319
54.562794 91.500 -11.9123
54.958179 91.491 -11.9934
55.356430 91.482 -12.0755
55.757565 91.473 -12.1584
56.161606 91.463 -12.2421
56.568577 91.453 -12.3267
56.978497 91.443 -12.4120
57.391388 91.433 -12.4981
57.807270 91.422 -12.5849
58.226166 91.411 -12.6724
58.648098 91.400 -12.7604
59.073086 91.388 -12.8489
59.501152 91.377 -12.9378
59.932323 91.364 -13.0270
60.366619 91.352 -13.1164
60.804062 91.339 -13.2059
61.244675 91.326 -13.2955
61.688480 91.312 -13.3848
62.135502 91.298 -13.4739
62.585762 91.283 -13.5626
63.039284 91.269 -13.6508
63.496094 91.253 -13.7384
63.956211 91.238 -13.8252
64.419662 91.222 -13.9110
64.886475 91.205 -13.9959
65.356667 91.188 -14.0796
65.830269 91.171 -14.1620
66.307304 91.154 -14.2430
66.787796 91.136 -14.3224
67.271767 91.117 -14.4003
67.759247 91.099 -14.4764
68.250259 91.080 -14.5507
68.744827 91.061 -14.6230
69.242981 91.041 -14.6933
69.744743 91.021 -14.7616
70.250145 91.001 -14.8276
70.759209 90.980 -14.8915
71.271957 90.960 -14.9531
71.788422 90.939 -15.0123
72.308632 90.918 -15.0694
72.832611 90.896 -15.1239
73.360390 90.875 -15.1762
73.891991 90.854 -15.2260
74.427444 90.832 -15.2735
74.966774 90.810 -15.3187
75.510017 90.788 -15.3617
76.057198 90.766 -15.4024
76.608337 90.744 -15.4409
77.163475 90.722 -15.4774
77.722633 90.700 -15.5118
78.285843 90.679 -15.5443
78.853134 90.657 -15.5750
79.424538 90.635 -15.6039
80.000084 90.613 -15.6312
80.579796 90.591 -15.6569
81.163712 90.570 -15.6813
81.751854 90.548 -15.7043
82.344261 90.526 -15.7262
82.940964 90.505 -15.7470
83.541985 90.484 -15.7669
84.147362 90.462 -15.7860
84.757126 90.441 -15.8044
85.371307 90.420 -15.8223
85.989944 90.399 -15.8396
86.613060 90.378 -15.8566
87.240692 90.357 -15.8732
87.872871 90.336 -15.8896
88.509636 90.315 -15.9058
89.151016 90.294 -15.9219
89.797043 90.273 -15.9379
90.447746 90.252 -15.9537
91.103165 90.231 -15.9694
91.763336 90.210 -15.9850
92.428291 90.188 -16.0004
93.098068 90.167 -16.0155
93.772697 90.145 -16.0302
94.452209 90.123 -16.0445
95.136650 90.101 -16.0583
95.826050 90.078 -16.0713
96.520447 90.055 -16.0835
97.219872 90.032 -16.0948
97.924370 90.009 -16.1049
98.633972 89.986 -16.1138
99.348717 89.962 -16.1212
100.068642 89.938 -16.1269
100.793777 89.913 -16.1309
101.524170 89.888 -16.1329
102.259857 89.863 -16.1329
103.000877 89.838 -16.1305
103.747261 89.813 -16.1257
104.499054 89.787 -16.1184
105.256294 89.761 -16.1084
106.019028 89.734 -16.0955
106.787285 89.708 -16.0797
107.561111 89.681 -16.0608
108.340546 89.654 -16.0388
109.125626 89.627 -16.0136
109.916397 89.599 -15.9851
110.712898 89.572 -15.9532
111.515167 89.545 -15.9179
112.323250 89.517 -15.8791
113.137192 89.490 -15.8370
113.957031 89.462 -15.7913
114.782814 89.434 -15.7421
115.614578 89.407 -15.6894
116.452370 89.379 -15.6333
117.296234 89.352 -15.5737
118.146210 89.325 -15.5109
119.002342 89.298 -15.4447
119.864685 89.271 -15.3753
120.733276 89.244 -15.3028
121.608162 89.217 -15.2273
122.489388 89.191 -15.1489
123.376999 89.165 -15.0676
124.271042 89.139 -14.9837
125.171562 89.114 -14.8973
126.078606 89.089 -14.8085
126.992226 89.064 -14.7174
127.912460 89.039 -14.6243
128.839371 89.015 -14.5292
129.772995 88.991 -14.4323
130.713379 88.968 -14.3339
131.660583 88.945 -14.2339
132.614655 88.922 -14.1327
133.575638 88.900 -14.0302
134.543579 88.878 -13.9268
135.518539 88.856 -13.8224
136.500565 88.835 -13.7173
137.489700 88.814 -13.6115
138.486008 88.793 -13.5052
139.489532 88.773 -13.3983
140.500336 88.753 -13.2911
141.518463 88.733 -13.1835
142.543961 88.713 -13.0756
143.576889 88.694 -12.9674
144.617310 88.674 -12.8589
145.665268 88.655 -12.7502
146.720825 88.636 -12.6412
147.784027 88.618 -12.5319
148.854935 88.599 -12.4223
149.933594 88.580 -12.3123
151.020081 88.562 -12.2019
152.114441 88.543 -12.0910
153.216721 88.525 -11.9795
154.326996 88.506 -11.8674
155.445312 88.488 -11.7546
156.571732 88.469 -11.6410
157.706314 88.451 -11.5265
158.849121 88.432 -11.4109
160.000214 88.414 -11.2943
161.159637 88.396 -11.1765
162.327469 88.377 -11.0574
163.503754 88.359 -10.9368
164.688568 88.340 -10.8148
165.881973 88.321 -10.6911
167.084015 88.303 -10.5657
168.294769 88.284 -10.4386
169.514297 88.266 -10.3095
170.742661 88.247 -10.1784
171.979935 88.228 -10.0452
173.226166 88.210 -9.9099
174.481430 88.191 -9.7723
175.745789 88.173 -9.6325
177.019318 88.154 -9.4903
178.302078 88.136 -9.3457
179.594131 88.118 -9.1987
180.895538 88.100 -9.0493
182.206375 88.082 -8.8973
183.526718 88.064 -8.7430
184.856628 88.047 -8.5861
186.196182 88.029 -8.4269
187.545441 88.012 -8.2652
188.904465 87.996 -8.1011
190.273346 87.979 -7.9346
191.652145 87.963 -7.7659
193.040939 87.948 -7.5949
194.439789 87.933 -7.4219
195.848785 87.918 -7.2468
197.267990 87.904 -7.0697
198.697479 87.890 -6.8908
200.137329 87.877 -6.7101
201.587601 87.864 -6.5278
203.048386 87.852 -6.3440
204.519760 87.841 -6.1587
206.001801 87.830 -5.9722
207.494568 87.820 -5.7845
208.998154 87.810 -5.5958
210.512634 87.802 -5.4062
212.038101 87.794 -5.2158
213.574615 87.787 -5.0246
215.122269 87.780 -4.8329
216.681137 87.775 -4.6408
218.251297 87.770 -4.4483
219.832840 87.766 -4.2555
221.425842 87.763 -4.0626
223.030380 87.761 -3.8697
224.646545 87.759 -3.6768
226.274429 87.759 -3.4841
227.914108 87.759 -3.2916
229.565674 87.760 -3.0995
231.229202 87.762 -2.9078
232.904785 87.765 -2.7166
234.592514 87.769 -2.5261
236.292465 87.773 -2.3363
238.004730 87.778 -2.1473
239.729416 87.784 -1.9593
241.466599 87.791 -1.7723
243.216370 87.799 -1.5866
244.978821 87.808 -1.4020
246.754044 87.817 -1.2189
248.542130 87.827 -1.0373
250.343170 87.837 -0.8573
252.157257 87.849 -0.6791
253.984497 87.861 -0.5027
255.824966 87.873 -0.3283
257.678772 87.887 -0.1561
259.546021 87.901 0.0140
261.426788 87.915 0.1817
263.321198 87.930 0.3469
265.229340 87.945 0.5096
267.151306 87.961 0.6695
269.087189 87.978 0.8267
271.037109 87.995 0.9810
273.001160 88.012 1.1322
274.979431 88.030 1.2803
276.972046 88.048 1.4252
278.979095 88.066 1.5667
281.000702 88.085 1.7048
283.036957 88.104 1.8394
285.087952 88.123 1.9703
287.153809 88.142 2.0975
289.234650 88.162 2.2209
291.330566 88.182 2.3403
293.441681 88.202 2.4558
295.568085 88.222 2.5673
297.709900 88.242 2.6747
299.867218 88.263 2.7779
302.040192 88.283 2.8770
304.228912 88.303 2.9719
306.433472 88.324 3.0626
308.654022 88.344 3.1492
310.890656 88.364 3.2316
313.143494 88.384 3.3100
315.412659 88.404 3.3844
317.698273 88.424 3.4548
320.000458 88.443 3.5213
322.319305 88.462 3.5842
324.654968 88.481 3.6434
327.007538 88.500 3.6992
329.377167 88.518 3.7517
331.763977 88.536 3.8010
