* Measurement data measured by REW V5.20.7
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Harman2015OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 1, 2022 3:08:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Harman2015OE.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Harman2015OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.470 0.1918
20.144928 93.470 0.1228
20.290907 93.471 0.0550
20.437943 93.471 -0.0115
20.586044 93.471 -0.0769
20.735220 93.471 -0.1413
20.885475 93.471 -0.2047
21.036819 93.470 -0.2673
21.189260 93.470 -0.3292
21.342806 93.469 -0.3906
21.497465 93.469 -0.4517
21.653244 93.468 -0.5127
21.810152 93.468 -0.5737
21.968197 93.467 -0.6349
22.127388 93.467 -0.6964
22.287733 93.466 -0.7584
22.449240 93.465 -0.8210
22.611916 93.465 -0.8843
22.775770 93.464 -0.9483
22.940813 93.463 -1.0131
23.107052 93.462 -1.0786
23.274494 93.461 -1.1450
23.443151 93.460 -1.2121
23.613029 93.458 -1.2800
23.784140 93.457 -1.3485
23.956490 93.455 -1.4177
24.130089 93.454 -1.4874
24.304945 93.452 -1.5577
24.481070 93.450 -1.6284
24.658470 93.449 -1.6996
24.837156 93.447 -1.7711
25.017136 93.445 -1.8430
25.198420 93.443 -1.9151
25.381018 93.440 -1.9874
25.564939 93.438 -2.0598
25.750193 93.436 -2.1325
25.936789 93.434 -2.2052
26.124737 93.432 -2.2780
26.314047 93.430 -2.3510
26.504730 93.428 -2.4240
26.696795 93.425 -2.4971
26.890251 93.423 -2.5702
27.085110 93.421 -2.6434
27.281380 93.419 -2.7166
27.479073 93.418 -2.7900
27.678198 93.416 -2.8635
27.878765 93.414 -2.9372
28.080786 93.413 -3.0110
28.284271 93.411 -3.0851
28.489231 93.410 -3.1595
28.695675 93.409 -3.2343
28.903616 93.407 -3.3094
29.113064 93.407 -3.3850
29.324030 93.406 -3.4612
29.536524 93.405 -3.5380
29.750557 93.405 -3.6154
29.966143 93.404 -3.6936
30.183290 93.404 -3.7726
30.402012 93.404 -3.8525
30.622318 93.404 -3.9334
30.844221 93.404 -4.0154
31.067732 93.404 -4.0986
31.292862 93.405 -4.1831
31.519623 93.405 -4.2688
31.748028 93.406 -4.3560
31.978086 93.407 -4.4447
32.209812 93.408 -4.5349
32.443218 93.409 -4.6268
32.678314 93.410 -4.7203
32.915115 93.411 -4.8155
33.153633 93.412 -4.9125
33.393879 93.413 -5.0112
33.635864 93.414 -5.1118
33.879604 93.415 -5.2141
34.125111 93.415 -5.3183
34.372395 93.416 -5.4243
34.621471 93.417 -5.5321
34.872353 93.418 -5.6417
35.125053 93.418 -5.7530
35.379585 93.419 -5.8660
35.635960 93.419 -5.9808
35.894192 93.419 -6.0971
36.154297 93.419 -6.2149
36.416286 93.418 -6.3341
36.680176 93.418 -6.4547
36.945976 93.417 -6.5766
37.213703 93.416 -6.6998
37.483368 93.415 -6.8242
37.754990 93.414 -6.9496
38.028580 93.412 -7.0760
38.304150 93.410 -7.2033
38.581718 93.408 -7.3314
38.861298 93.405 -7.4604
39.142902 93.403 -7.5900
39.426548 93.400 -7.7203
39.712250 93.397 -7.8511
40.000023 93.394 -7.9825
40.289879 93.390 -8.1143
40.581837 93.386 -8.2467
40.875908 93.383 -8.3795
41.172112 93.378 -8.5127
41.470463 93.374 -8.6463
41.770973 93.370 -8.7805
42.073662 93.365 -8.9150
42.378544 93.360 -9.0499
42.685635 93.355 -9.1852
42.994953 93.350 -9.3209
43.306511 93.345 -9.4572
43.620327 93.339 -9.5939
43.936417 93.333 -9.7310
44.254799 93.328 -9.8687
44.575489 93.322 -10.0070
44.898502 93.315 -10.1458
45.223854 93.309 -10.2852
45.551563 93.302 -10.4252
45.881649 93.296 -10.5658
46.214127 93.289 -10.7071
46.549015 93.282 -10.8490
46.886330 93.275 -10.9917
47.226086 93.267 -11.1350
47.568306 93.259 -11.2793
47.913006 93.252 -11.4241
48.260204 93.244 -11.5698
48.609917 93.235 -11.7163
48.962166 93.227 -11.8635
49.316967 93.218 -12.0116
49.674339 93.209 -12.1606
50.034302 93.200 -12.3103
50.396870 93.191 -12.4609
50.762066 93.181 -12.6124
51.129910 93.171 -12.7646
51.500420 93.161 -12.9176
51.873611 93.150 -13.0714
52.249508 93.140 -13.2260
52.628128 93.128 -13.3813
53.009495 93.117 -13.5374
53.393623 93.105 -13.6942
53.780537 93.093 -13.8517
54.170254 93.080 -14.0097
54.562794 93.067 -14.1684
54.958179 93.054 -14.3275
55.356430 93.040 -14.4872
55.757565 93.026 -14.6472
56.161606 93.012 -14.8076
56.568577 92.997 -14.9682
56.978497 92.982 -15.1292
57.391388 92.966 -15.2902
57.807270 92.950 -15.4512
58.226166 92.934 -15.6121
58.648098 92.917 -15.7729
59.073086 92.899 -15.9334
59.501152 92.881 -16.0935
59.932323 92.863 -16.2533
60.366619 92.844 -16.4124
60.804062 92.825 -16.5708
61.244675 92.805 -16.7284
61.688480 92.785 -16.8851
62.135502 92.764 -17.0408
62.585762 92.743 -17.1954
63.039284 92.721 -17.3488
63.496094 92.699 -17.5008
63.956211 92.676 -17.6515
64.419662 92.653 -17.8006
64.886475 92.630 -17.9483
65.356667 92.606 -18.0943
65.830269 92.581 -18.2386
66.307304 92.557 -18.3810
66.787796 92.532 -18.5217
67.271767 92.506 -18.6604
67.759247 92.480 -18.7972
68.250259 92.454 -18.9320
68.744827 92.427 -19.0646
69.242981 92.400 -19.1951
69.744743 92.372 -19.3235
70.250145 92.344 -19.4497
70.759209 92.316 -19.5735
71.271957 92.288 -19.6951
71.788422 92.259 -19.8143
72.308632 92.229 -19.9311
72.832611 92.200 -20.0456
73.360390 92.170 -20.1575
73.891991 92.140 -20.2670
74.427444 92.110 -20.3741
74.966774 92.079 -20.4787
75.510017 92.048 -20.5809
76.057198 92.017 -20.6805
76.608337 91.986 -20.7777
77.163475 91.954 -20.8724
77.722633 91.922 -20.9647
78.285843 91.891 -21.0547
78.853134 91.858 -21.1423
79.424538 91.826 -21.2275
80.000084 91.794 -21.3104
80.579796 91.761 -21.3911
81.163712 91.728 -21.4695
81.751854 91.695 -21.5457
82.344261 91.662 -21.6196
82.940964 91.628 -21.6915
83.541985 91.595 -21.7611
84.147362 91.560 -21.8286
84.757126 91.526 -21.8939
85.371307 91.492 -21.9572
85.989944 91.458 -22.0183
86.613060 91.424 -22.0772
87.240692 91.389 -22.1339
87.872871 91.354 -22.1885
88.509636 91.319 -22.2408
89.151016 91.284 -22.2908
89.797043 91.249 -22.3384
90.447746 91.213 -22.3839
91.103165 91.177 -22.4267
91.763336 91.141 -22.4670
92.428291 91.105 -22.5047
93.098068 91.068 -22.5399
93.772697 91.031 -22.5722
94.452209 90.994 -22.6017
95.136650 90.957 -22.6285
95.826050 90.919 -22.6521
96.520447 90.882 -22.6728
97.219872 90.844 -22.6903
97.924370 90.805 -22.7046
98.633972 90.767 -22.7156
99.348717 90.728 -22.7232
100.068642 90.689 -22.7275
100.793777 90.650 -22.7281
101.524170 90.611 -22.7251
102.259857 90.571 -22.7185
103.000877 90.531 -22.7080
103.747261 90.491 -22.6937
104.499054 90.451 -22.6756
105.256294 90.411 -22.6536
106.019028 90.371 -22.6275
106.787285 90.330 -22.5974
107.561111 90.290 -22.5634
108.340546 90.250 -22.5252
109.125626 90.209 -22.4831
109.916397 90.169 -22.4367
110.712898 90.128 -22.3862
111.515167 90.088 -22.3317
112.323250 90.047 -22.2732
113.137192 90.007 -22.2106
113.957031 89.965 -22.1441
114.782814 89.925 -22.0736
115.614578 89.885 -21.9993
116.452370 89.845 -21.9211
117.296234 89.806 -21.8392
118.146210 89.767 -21.7536
119.002342 89.727 -21.6644
119.864685 89.689 -21.5717
120.733276 89.650 -21.4756
121.608162 89.612 -21.3761
122.489388 89.574 -21.2734
123.376999 89.536 -21.1676
124.271042 89.499 -21.0587
125.171562 89.462 -20.9469
126.078606 89.426 -20.8325
126.992226 89.390 -20.7151
127.912460 89.355 -20.5952
128.839371 89.321 -20.4728
129.772995 89.286 -20.3480
130.713379 89.252 -20.2210
131.660583 89.219 -20.0917
132.614655 89.186 -19.9603
133.575638 89.154 -19.8271
134.543579 89.122 -19.6919
135.518539 89.091 -19.5551
136.500565 89.060 -19.4164
137.489700 89.029 -19.2762
138.486008 89.000 -19.1345
139.489532 88.970 -18.9913
140.500336 88.942 -18.8468
141.518463 88.913 -18.7009
142.543961 88.884 -18.5537
143.576889 88.856 -18.4054
144.617310 88.829 -18.2558
145.665268 88.802 -18.1051
146.720825 88.775 -17.9533
147.784027 88.748 -17.8003
148.854935 88.722 -17.6463
149.933594 88.696 -17.4912
151.020081 88.670 -17.3351
152.114441 88.645 -17.1778
153.216721 88.619 -17.0195
154.326996 88.594 -16.8599
155.445312 88.569 -16.6994
156.571732 88.545 -16.5375
157.706314 88.519 -16.3744
158.849121 88.495 -16.2101
160.000214 88.470 -16.0444
161.159637 88.446 -15.8775
162.327469 88.423 -15.7090
163.503754 88.398 -15.5392
164.688568 88.375 -15.3677
165.881973 88.351 -15.1946
167.084015 88.328 -15.0198
168.294769 88.304 -14.8434
169.514297 88.280 -14.6650
170.742661 88.257 -14.4849
171.979935 88.234 -14.3027
173.226166 88.211 -14.1186
174.481430 88.189 -13.9324
175.745789 88.166 -13.7442
177.019318 88.143 -13.5538
178.302078 88.120 -13.3613
179.594131 88.099 -13.1664
180.895538 88.077 -12.9695
182.206375 88.055 -12.7701
183.526718 88.034 -12.5686
184.856628 88.013 -12.3647
186.196182 87.991 -12.1586
187.545441 87.970 -11.9501
188.904465 87.950 -11.7395
190.273346 87.930 -11.5266
191.652145 87.910 -11.3114
193.040939 87.891 -11.0941
194.439789 87.872 -10.8746
195.848785 87.853 -10.6530
197.267990 87.835 -10.4293
198.697479 87.817 -10.2037
200.137329 87.800 -9.9762
201.587601 87.783 -9.7467
203.048386 87.767 -9.5156
204.519760 87.750 -9.2826
206.001801 87.735 -9.0481
207.494568 87.720 -8.8122
208.998154 87.706 -8.5747
210.512634 87.692 -8.3360
212.038101 87.680 -8.0960
213.574615 87.667 -7.8550
215.122269 87.655 -7.6130
216.681137 87.645 -7.3701
218.251297 87.634 -7.1266
219.832840 87.625 -6.8825
221.425842 87.617 -6.6379
223.030380 87.609 -6.3932
224.646545 87.603 -6.1483
226.274429 87.598 -5.9034
227.914108 87.593 -5.6588
229.565674 87.591 -5.4146
231.229202 87.588 -5.1709
232.904785 87.588 -4.9281
234.592514 87.589 -4.6861
236.292465 87.590 -4.4453
238.004730 87.594 -4.2059
239.729416 87.598 -3.9678
241.466599 87.603 -3.7316
243.216370 87.611 -3.4972
244.978821 87.619 -3.2649
246.754044 87.629 -3.0350
248.542130 87.640 -2.8074
250.343170 87.652 -2.5826
252.157257 87.666 -2.3606
253.984497 87.680 -2.1415
255.824966 87.695 -1.9257
257.678772 87.711 -1.7132
259.546021 87.729 -1.5040
261.426788 87.747 -1.2986
263.321198 87.766 -1.0970
265.229340 87.784 -0.8992
267.151306 87.805 -0.7052
269.087189 87.825 -0.5155
271.037109 87.846 -0.3298
273.001160 87.868 -0.1483
274.979431 87.890 0.0287
276.972046 87.913 0.2014
278.979095 87.935 0.3699
281.000702 87.958 0.5338
283.036957 87.982 0.6933
285.087952 88.005 0.8484
287.153809 88.029 0.9990
289.234650 88.053 1.1452
291.330566 88.077 1.2871
293.441681 88.102 1.4247
295.568085 88.126 1.5580
297.709900 88.151 1.6869
299.867218 88.176 1.8117
302.040192 88.200 1.9325
304.228912 88.225 2.0493
306.433472 88.251 2.1622
308.654022 88.274 2.2713
310.890656 88.299 2.3768
313.143494 88.323 2.4787
315.412659 88.347 2.5773
317.698273 88.370 2.6727
320.000458 88.392 2.7649
322.319305 88.413 2.8542
324.654968 88.433 2.9408
327.007538 88.451 3.0247
329.377167 88.469 3.1062
