* Measurement data measured by REW V5.20.13
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman 2018.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 10, 2022 12:20:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman 2018.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,895 Hz log spaced
* Measurement: Harman 2018
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.929	0.0000
20.299999	93.951	0.0000
20.600000	93.985	0.0000
20.900000	94.019	0.0000
21.200001	94.046	0.0000
21.400000	94.059	0.0000
21.799999	94.075	0.0000
22.000000	94.081	0.0000
22.400000	94.091	0.0000
22.700001	94.091	0.0000
23.000000	94.089	0.0000
23.299999	94.087	0.0000
23.600000	94.084	0.0000
24.000000	94.081	0.0000
24.299999	94.079	0.0000
24.700001	94.076	0.0000
25.000000	94.074	0.0000
25.400000	94.072	0.0000
25.799999	94.069	0.0000
26.200001	94.066	0.0000
26.500000	94.063	0.0000
26.900000	94.058	0.0000
27.200001	94.055	0.0000
27.600000	94.049	0.0000
28.000000	94.044	0.0000
28.500000	94.036	0.0000
29.000000	94.029	0.0000
29.500000	94.021	0.0000
30.000000	94.012	0.0000
30.400000	94.003	0.0000
30.700001	93.995	0.0000
31.100000	93.984	0.0000
31.500000	93.975	0.0000
32.000000	93.964	0.0000
32.500000	93.954	0.0000
33.000000	93.944	0.0000
33.500000	93.932	0.0000
34.000000	93.918	0.0000
34.500000	93.904	0.0000
35.000000	93.889	0.0000
35.500000	93.875	0.0000
36.000000	93.861	0.0000
36.500000	93.849	0.0000
37.000000	93.836	0.0000
37.500000	93.823	0.0000
38.200001	93.804	0.0000
38.700001	93.790	0.0000
39.500000	93.768	0.0000
40.000000	93.754	0.0000
40.599998	93.737	0.0000
41.200001	93.720	0.0000
41.799999	93.703	0.0000
42.500000	93.683	0.0000
43.099998	93.662	0.0000
43.700001	93.640	0.0000
44.400002	93.615	0.0000
45.000000	93.593	0.0000
45.500000	93.574	0.0000
46.200001	93.546	0.0000
46.799999	93.521	0.0000
47.500000	93.492	0.0000
48.200001	93.460	0.0000
48.700001	93.436	0.0000
49.400002	93.402	0.0000
50.000000	93.374	0.0000
50.799999	93.338	0.0000
