* Measurement data measured by REW V5.20.9
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman2018OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2022 3:18:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman2018OE.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,895 Hz log spaced
* Measurement: Harman2018OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.109 -7.8911
20.144928 92.106 -7.8821
20.290907 92.103 -7.8724
20.437943 92.101 -7.8620
20.586044 92.098 -7.8510
20.735220 92.095 -7.8392
20.885475 92.093 -7.8267
21.036819 92.090 -7.8135
21.189260 92.088 -7.7996
21.342806 92.086 -7.7848
21.497465 92.084 -7.7694
21.653244 92.083 -7.7532
21.810152 92.081 -7.7363
21.968197 92.080 -7.7187
22.127388 92.078 -7.7004
22.287733 92.077 -7.6815
22.449240 92.076 -7.6620
22.611916 92.076 -7.6419
22.775770 92.075 -7.6213
22.940813 92.075 -7.6001
23.107052 92.074 -7.5785
23.274494 92.074 -7.5566
23.443151 92.074 -7.5342
23.613029 92.074 -7.5115
23.784140 92.074 -7.4885
23.956490 92.074 -7.4652
24.130089 92.075 -7.4417
24.304945 92.075 -7.4180
24.481070 92.075 -7.3942
24.658470 92.076 -7.3702
24.837156 92.076 -7.3460
25.017136 92.077 -7.3219
25.198420 92.077 -7.2976
25.381018 92.077 -7.2734
25.564939 92.078 -7.2492
25.750193 92.078 -7.2250
25.936789 92.078 -7.2010
26.124737 92.078 -7.1772
26.314047 92.078 -7.1535
26.504730 92.078 -7.1302
26.696795 92.078 -7.1072
26.890251 92.078 -7.0847
27.085110 92.078 -7.0627
27.281380 92.078 -7.0413
27.479073 92.078 -7.0206
27.678198 92.078 -7.0007
27.878765 92.078 -6.9818
28.080786 92.077 -6.9638
28.284271 92.077 -6.9470
28.489231 92.077 -6.9314
28.695675 92.077 -6.9171
28.903616 92.076 -6.9042
29.113064 92.076 -6.8929
29.324030 92.076 -6.8831
29.536524 92.076 -6.8751
29.750557 92.076 -6.8689
29.966143 92.076 -6.8645
30.183290 92.076 -6.8622
30.402012 92.076 -6.8619
30.622318 92.076 -6.8637
30.844221 92.076 -6.8678
31.067732 92.076 -6.8742
31.292862 92.077 -6.8829
31.519623 92.077 -6.8942
31.748028 92.078 -6.9079
31.978086 92.078 -6.9243
32.209812 92.079 -6.9433
32.443218 92.080 -6.9651
32.678314 92.081 -6.9897
32.915115 92.082 -7.0171
33.153633 92.082 -7.0474
33.393879 92.083 -7.0806
33.635864 92.084 -7.1167
33.879604 92.085 -7.1558
34.125111 92.086 -7.1979
34.372395 92.087 -7.2428
34.621471 92.088 -7.2906
34.872353 92.088 -7.3413
35.125053 92.089 -7.3947
35.379585 92.089 -7.4508
35.635960 92.090 -7.5096
35.894192 92.090 -7.5708
36.154297 92.089 -7.6343
36.416286 92.089 -7.7002
36.680176 92.088 -7.7681
36.945976 92.087 -7.8380
37.213703 92.086 -7.9096
37.483368 92.084 -7.9829
37.754990 92.083 -8.0577
38.028580 92.081 -8.1337
38.304150 92.078 -8.2109
38.581718 92.075 -8.2890
38.861298 92.072 -8.3680
39.142902 92.069 -8.4475
39.426548 92.065 -8.5276
39.712250 92.061 -8.6079
40.000023 92.057 -8.6885
40.289879 92.052 -8.7691
40.581837 92.047 -8.8496
40.875908 92.042 -8.9299
41.172112 92.036 -9.0099
41.470463 92.031 -9.0895
41.770973 92.025 -9.1687
42.073662 92.019 -9.2473
42.378544 92.012 -9.3254
42.685635 92.006 -9.4029
42.994953 91.999 -9.4798
43.306511 91.992 -9.5560
43.620327 91.985 -9.6315
43.936417 91.978 -9.7065
44.254799 91.971 -9.7808
44.575489 91.964 -9.8545
44.898502 91.956 -9.9277
45.223854 91.949 -10.0004
45.551563 91.941 -10.0727
45.881649 91.934 -10.1445
46.214127 91.926 -10.2160
46.549015 91.919 -10.2873
46.886330 91.911 -10.3583
47.226086 91.903 -10.4292
47.568306 91.896 -10.5000
47.913006 91.888 -10.5708
48.260204 91.880 -10.6417
48.609917 91.873 -10.7127
48.962166 91.865 -10.7838
49.316967 91.857 -10.8553
49.674339 91.849 -10.9270
50.034302 91.841 -10.9991
50.396870 91.833 -11.0717
50.762066 91.825 -11.1447
51.129910 91.817 -11.2183
51.500420 91.809 -11.2923
51.873611 91.801 -11.3674
52.249508 91.793 -11.4427
52.628128 91.785 -11.5189
53.009495 91.776 -11.5960
53.393623 91.768 -11.6738
53.780537 91.759 -11.7524
54.170254 91.750 -11.8318
54.562794 91.741 -11.9122
54.958179 91.732 -11.9933
55.356430 91.723 -12.0754
55.757565 91.714 -12.1583
56.161606 91.704 -12.2420
56.568577 91.694 -12.3266
56.978497 91.684 -12.4119
57.391388 91.674 -12.4980
57.807270 91.663 -12.5848
58.226166 91.652 -12.6723
58.648098 91.641 -12.7603
59.073086 91.629 -12.8488
59.501152 91.618 -12.9377
59.932323 91.605 -13.0269
60.366619 91.593 -13.1163
60.804062 91.580 -13.2058
61.244675 91.567 -13.2954
61.688480 91.553 -13.3847
62.135502 91.539 -13.4738
62.585762 91.524 -13.5625
63.039284 91.510 -13.6507
63.496094 91.494 -13.7383
63.956211 91.479 -13.8251
64.419662 91.463 -13.9109
64.886475 91.446 -13.9958
65.356667 91.429 -14.0795
65.830269 91.412 -14.1619
66.307304 91.395 -14.2429
66.787796 91.377 -14.3223
67.271767 91.358 -14.4002
67.759247 91.340 -14.4763
68.250259 91.321 -14.5506
68.744827 91.302 -14.6229
69.242981 91.282 -14.6932
69.744743 91.262 -14.7615
70.250145 91.242 -14.8275
70.759209 91.221 -14.8914
71.271957 91.201 -14.9530
71.788422 91.180 -15.0122
72.308632 91.159 -15.0694
72.832611 91.137 -15.1239
73.360390 91.116 -15.1762
73.891991 91.095 -15.2260
74.427444 91.073 -15.2735
74.966774 91.051 -15.3187
75.510017 91.029 -15.3617
76.057198 91.007 -15.4024
76.608337 90.985 -15.4409
77.163475 90.963 -15.4774
77.722633 90.941 -15.5118
78.285843 90.920 -15.5443
78.853134 90.898 -15.5750
79.424538 90.876 -15.6039
80.000084 90.854 -15.6312
80.579796 90.832 -15.6569
81.163712 90.811 -15.6813
81.751854 90.789 -15.7043
82.344261 90.767 -15.7262
82.940964 90.746 -15.7470
83.541985 90.725 -15.7669
84.147362 90.703 -15.7860
84.757126 90.682 -15.8044
85.371307 90.661 -15.8223
85.989944 90.640 -15.8396
86.613060 90.619 -15.8566
87.240692 90.598 -15.8732
87.872871 90.577 -15.8896
88.509636 90.556 -15.9058
89.151016 90.535 -15.9219
89.797043 90.514 -15.9379
90.447746 90.493 -15.9537
91.103165 90.472 -15.9694
91.763336 90.451 -15.9850
92.428291 90.429 -16.0004
93.098068 90.408 -16.0155
93.772697 90.386 -16.0302
94.452209 90.364 -16.0445
95.136650 90.342 -16.0583
95.826050 90.319 -16.0713
96.520447 90.296 -16.0835
97.219872 90.273 -16.0948
97.924370 90.250 -16.1049
98.633972 90.227 -16.1138
99.348717 90.203 -16.1212
100.068642 90.179 -16.1269
100.793777 90.154 -16.1309
101.524170 90.129 -16.1329
102.259857 90.104 -16.1329
103.000877 90.079 -16.1305
103.747261 90.054 -16.1257
104.499054 90.028 -16.1184
105.256294 90.002 -16.1084
106.019028 89.975 -16.0955
106.787285 89.949 -16.0797
107.561111 89.922 -16.0608
108.340546 89.895 -16.0388
109.125626 89.868 -16.0136
109.916397 89.840 -15.9851
110.712898 89.813 -15.9532
111.515167 89.786 -15.9179
112.323250 89.758 -15.8791
113.137192 89.731 -15.8371
113.957031 89.703 -15.7914
114.782814 89.675 -15.7422
115.614578 89.648 -15.6895
116.452370 89.620 -15.6334
117.296234 89.593 -15.5738
118.146210 89.566 -15.5110
119.002342 89.539 -15.4448
119.864685 89.512 -15.3754
120.733276 89.485 -15.3029
121.608162 89.458 -15.2274
122.489388 89.432 -15.1490
123.376999 89.406 -15.0677
124.271042 89.380 -14.9838
125.171562 89.355 -14.8974
126.078606 89.330 -14.8086
126.992226 89.305 -14.7175
127.912460 89.280 -14.6244
128.839371 89.256 -14.5293
129.772995 89.232 -14.4324
130.713379 89.209 -14.3340
131.660583 89.186 -14.2340
132.614655 89.163 -14.1328
133.575638 89.141 -14.0303
134.543579 89.119 -13.9269
135.518539 89.097 -13.8225
136.500565 89.076 -13.7174
137.489700 89.055 -13.6116
138.486008 89.034 -13.5053
139.489532 89.014 -13.3984
140.500336 88.994 -13.2913
141.518463 88.974 -13.1837
142.543961 88.954 -13.0758
143.576889 88.935 -12.9676
144.617310 88.915 -12.8591
145.665268 88.896 -12.7504
146.720825 88.877 -12.6414
147.784027 88.859 -12.5321
148.854935 88.840 -12.4225
149.933594 88.821 -12.3125
151.020081 88.803 -12.2021
152.114441 88.784 -12.0912
153.216721 88.766 -11.9797
154.326996 88.747 -11.8676
155.445312 88.729 -11.7548
156.571732 88.710 -11.6412
157.706314 88.692 -11.5267
158.849121 88.673 -11.4111
160.000214 88.655 -11.2945
161.159637 88.637 -11.1767
162.327469 88.618 -11.0576
163.503754 88.600 -10.9370
164.688568 88.581 -10.8150
165.881973 88.562 -10.6913
167.084015 88.544 -10.5659
168.294769 88.525 -10.4388
169.514297 88.507 -10.3097
170.742661 88.488 -10.1786
171.979935 88.469 -10.0454
173.226166 88.451 -9.9101
174.481430 88.432 -9.7725
175.745789 88.414 -9.6327
177.019318 88.395 -9.4905
178.302078 88.377 -9.3459
179.594131 88.359 -9.1989
180.895538 88.341 -9.0495
182.206375 88.323 -8.8975
183.526718 88.305 -8.7432
184.856628 88.288 -8.5863
186.196182 88.270 -8.4272
187.545441 88.253 -8.2655
188.904465 88.237 -8.1014
190.273346 88.220 -7.9349
191.652145 88.204 -7.7662
193.040939 88.189 -7.5952
194.439789 88.174 -7.4222
195.848785 88.159 -7.2471
197.267990 88.145 -7.0700
198.697479 88.131 -6.8911
200.137329 88.118 -6.7104
201.587601 88.105 -6.5281
203.048386 88.093 -6.3443
204.519760 88.082 -6.1590
206.001801 88.071 -5.9725
207.494568 88.061 -5.7848
208.998154 88.051 -5.5961
210.512634 88.043 -5.4065
212.038101 88.035 -5.2161
213.574615 88.028 -5.0249
215.122269 88.021 -4.8332
216.681137 88.016 -4.6411
218.251297 88.011 -4.4486
219.832840 88.007 -4.2558
221.425842 88.004 -4.0629
223.030380 88.002 -3.8700
224.646545 88.000 -3.6771
226.264297 88.000 0.0000
227.903900 88.001 0.0000
229.555389 88.003 0.0000
231.218842 88.004 0.0000
232.894348 88.005 0.0000
234.582001 88.007 0.0000
236.281876 88.011 0.0000
237.994064 88.017 0.0000
239.718674 88.024 0.0000
241.455780 88.031 0.0000
243.205475 88.039 0.0000
244.967834 88.046 0.0000
246.742966 88.054 0.0000
248.530960 88.063 0.0000
250.331924 88.072 0.0000
252.145935 88.083 0.0000
253.973083 88.095 0.0000
255.813477 88.107 0.0000
257.667206 88.120 0.0000
259.534363 88.132 0.0000
261.415070 88.144 0.0000
263.309387 88.157 0.0000
265.217438 88.170 0.0000
267.139313 88.185 0.0000
269.075104 88.201 0.0000
271.024933 88.217 0.0000
272.988892 88.233 0.0000
274.967072 88.249 0.0000
276.959595 88.264 0.0000
278.966553 88.280 0.0000
280.988068 88.295 0.0000
283.024231 88.309 0.0000
285.075134 88.322 0.0000
287.140900 88.335 0.0000
289.221649 88.349 0.0000
291.317474 88.362 0.0000
293.428467 88.376 0.0000
295.554779 88.389 0.0000
297.696503 88.403 0.0000
299.853729 88.419 0.0000
302.026581 88.436 0.0000
304.215179 88.455 0.0000
306.419647 88.474 0.0000
308.640076 88.493 0.0000
310.876617 88.513 0.0000
313.129364 88.532 0.0000
315.398438 88.550 0.0000
317.683929 88.566 0.0000
319.985992 88.582 0.0000
322.304749 88.597 0.0000
324.640289 88.612 0.0000
326.992767 88.627 0.0000
