* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Jan 31, 2023 1:38:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = 1/A B = Listener DF Target
* Measurement: A times B
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	81.095
20.299999	81.095
20.600000	81.095
20.900000	81.095
21.200001	81.095
21.400000	81.095
21.799999	81.095
22.000000	81.095
22.400000	81.095
22.700001	81.095
23.000000	81.095
23.299999	81.095
23.600000	81.095
24.000000	81.095
24.299999	81.095
24.700001	81.095
25.000000	81.095
25.400000	81.095
25.799999	81.095
26.200001	81.095
26.500000	81.095
26.900000	81.095
27.200001	81.095
27.600000	81.095
28.000000	81.095
28.500000	81.095
29.000000	81.095
29.500000	81.095
30.000000	81.095
30.400000	81.095
30.700001	81.095
31.100000	81.095
31.500000	81.095
32.000000	81.095
32.500000	81.095
33.000000	81.095
33.500000	81.095
34.000000	81.095
34.500000	81.095
35.000000	81.095
35.500000	81.095
36.000000	81.095
36.500000	81.095
37.000000	81.096
37.500000	81.095
38.200001	81.095
38.700001	81.095
39.500000	81.095
40.000000	81.095
40.599998	81.095
41.200001	81.095
41.799999	81.095
42.500000	81.095
43.099998	81.095
43.700001	81.095
44.400002	81.096
45.000000	81.095
45.500000	81.095
46.200001	81.095
46.799999	81.096
47.500000	81.095
48.200001	81.095
48.700001	81.095
49.400002	81.095
50.000000	81.095
50.799999	81.095
51.500000	81.095
52.200001	81.095
53.000000	81.095
53.799999	81.095
54.500000	81.095
55.200001	81.096
56.000000	81.095
57.000000	81.095
58.000000	81.096
59.000000	81.095
60.000000	81.095
60.799999	81.095
61.500000	81.095
62.200001	81.095
63.000000	81.095
64.000000	81.095
65.000000	81.095
66.000000	81.095
67.000000	81.095
68.000000	81.095
69.000000	81.095
70.000000	81.095
71.000000	81.095
72.000000	81.095
73.000000	81.095
74.000000	81.095
75.000000	81.095
76.199997	81.095
77.500000	81.095
78.800003	81.095
80.000000	81.095
81.199997	81.095
82.500000	81.095
83.800003	81.095
85.000000	81.095
86.199997	81.095
87.500000	81.095
88.500000	81.095
90.000000	81.095
91.199997	81.095
92.500000	81.095
93.800003	81.095
95.000000	81.095
96.199997	81.095
97.500000	81.095
98.800003	81.095
100.000000	81.095
101.500000	81.095
103.000000	81.095
104.400002	81.095
106.000000	81.095
107.500000	81.095
109.000000	81.095
110.599998	81.095
112.000000	81.095
113.800003	81.095
115.000000	81.095
117.199997	81.095
118.000000	81.095
120.599998	81.095
122.000000	81.096
124.099998	81.095
125.000000	81.096
126.500000	81.095
128.000000	81.095
131.500000	81.096
132.000000	81.096
134.000000	81.095
136.000000	81.095
